director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Richard Benjamin,Comedy Drama Romance,Brendan Fraser,Jane Krakowski,Cathryn de Prume,mrs. winterbourne,Brendan Fraser Jane Krakowski Cathryn de Prume Richard Benjamin Comedy Drama Romance
Rod Lurie,Action Drama Thriller,Alexander Skarsgård,Laz Alonso,Rhys Coiro,straw dogs,Alexander Skarsgård Laz Alonso Rhys Coiro Rod Lurie Action Drama Thriller
Lasse Hallström,Comedy Drama,Hope Davis,Christopher Evan Welch,James Biberi,the hoax,Hope Davis Christopher Evan Welch James Biberi Lasse Hallström Comedy Drama
Craig R. Baxley,Action Crime Drama Thriller,Brian Bosworth,Sam McMurray,Richard Gant,stone cold,Brian Bosworth Sam McMurray Richard Gant Craig R. Baxley Action Crime Drama Thriller
John Hillcoat,Adventure Drama,Viggo Mortensen,Charlize Theron,Robert Duvall,the road,Viggo Mortensen Charlize Theron Robert Duvall John Hillcoat Adventure Drama
John Guillermin,Adventure Fantasy,Tanya Roberts,Donovan Scott,Ted Wass,sheena,Tanya Roberts Donovan Scott Ted Wass John Guillermin Adventure Fantasy
Marcos Siega,Action Comedy Crime Drama Thriller,Cheech Marin,Nick Cannon,Kaylee DeFer,underclassman,Cheech Marin Nick Cannon Kaylee DeFer Marcos Siega Action Comedy Crime Drama Thriller
J.B. Rogers,Comedy Romance,Eddie Cibrian,Chris Klein,Jack Plotnick,say it isn't so,Eddie Cibrian Chris Klein Jack Plotnick J.B. Rogers Comedy Romance
Roger Donaldson,Biography Drama Sport,Anthony Hopkins,Antony Starr,Craig Hall,the world's fastest indian,Anthony Hopkins Antony Starr Craig Hall Roger Donaldson Biography Drama Sport
David R. Ellis,Action Adventure Crime Drama Thriller,Lin Shaye,Kenan Thompson,Rachel Blanchard,snakes on a plane,Lin Shaye Kenan Thompson Rachel Blanchard David R. Ellis Action Adventure Crime Drama Thriller
Rachel Talalay,Action Comedy Sci-Fi,Naomi Watts,Lori Petty,Jeff Kober,tank girl,Naomi Watts Lori Petty Jeff Kober Rachel Talalay Action Comedy Sci-Fi
Jeffrey W. Byrd,Comedy Crime,Donald Faison,Loretta Devine,Regina Hall,king's ransom,Donald Faison Loretta Devine Regina Hall Jeffrey W. Byrd Comedy Crime
Fernando Meirelles,Drama Mystery Sci-Fi Thriller,Don McKellar,Joe Pingue,Yûsuke Iseya,blindness,Don McKellar Joe Pingue Yûsuke Iseya Fernando Meirelles Drama Mystery Sci-Fi Thriller
Uwe Boll,Action Adventure Fantasy Horror,Meat Loaf,Udo Kier,Michael Paré,bloodrayne,Meat Loaf Udo Kier Michael Paré Uwe Boll Action Adventure Fantasy Horror
Roman Polanski,Comedy Drama,Kate Winslet,Christoph Waltz,Julie Adams,carnage,Kate Winslet Christoph Waltz Julie Adams Roman Polanski Comedy Drama
Atom Egoyan,Crime Drama Mystery Thriller,Colin Firth,Alison Lohman,Rachel Blanchard,where the truth lies,Colin Firth Alison Lohman Rachel Blanchard Atom Egoyan Crime Drama Mystery Thriller
Andrew Adamson,Fantasy,Dallas Barnett,Erica Linz,Igor Zaripov,cirque du soleil: worlds away,Dallas Barnett Erica Linz Igor Zaripov Andrew Adamson Fantasy
Robert Towne,Biography Drama Sport,Billy Burke,Monica Potter,Billy Crudup,without limits,Billy Burke Monica Potter Billy Crudup Robert Towne Biography Drama Sport
Richard Linklater,Drama,Zoe Kazan,Aidan McArdle,James Tupper,me and orson welles,Zoe Kazan Aidan McArdle James Tupper Richard Linklater Drama
Giuseppe Tornatore,Crime Drama Mystery Romance,Jim Sturgess,Sean Buchanan,Liya Kebede,the best offer,Jim Sturgess Sean Buchanan Liya Kebede Giuseppe Tornatore Crime Drama Mystery Romance
Werner Herzog,Crime Drama,Nicolas Cage,Shea Whigham,Shawn Hatosy,bad lieutenant: port of call new orleans,Nicolas Cage Shea Whigham Shawn Hatosy Werner Herzog Crime Drama
Ben Stassen,Adventure Animation Family,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,a turtle's tale: sammy's adventures,Ed Begley Jr. Jenny McCarthy Stacy Keach Ben Stassen Adventure Animation Family
Guillaume Canet,Comedy Drama,François Cluzet,Benoît Magimel,Gilles Lellouche,little white lies,François Cluzet Benoît Magimel Gilles Lellouche Guillaume Canet Comedy Drama
Taylor Hackford,Comedy Drama Romance Sport,Scout Taylor-Compton,Bai Ling,Gil Birmingham,love ranch,Scout Taylor-Compton Bai Ling Gil Birmingham Taylor Hackford Comedy Drama Romance Sport
Jérôme Deschamps,Adventure Animation Comedy,Yolande Moreau,André Wilms,Jérôme Deschamps,the true story of puss'n boots,Yolande Moreau André Wilms Jérôme Deschamps Jérôme Deschamps Adventure Animation Comedy
Inna Evlannikova,Adventure Animation Comedy Family,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,space dogs,Sergey Garmash Evgeniy Mironov Aleksandr Bashirov Inna Evlannikova Adventure Animation Comedy Family
Ridley Scott,Crime Drama Thriller,Michael Fassbender,Brad Pitt,Goran Visnjic,the counselor,Michael Fassbender Brad Pitt Goran Visnjic Ridley Scott Crime Drama Thriller
Jonathan English,Action Adventure History Romance,Jason Flemyng,Mackenzie Crook,Derek Jacobi,ironclad,Jason Flemyng Mackenzie Crook Derek Jacobi Jonathan English Action Adventure History Romance
Sergey Bondarchuk,Action Drama History War,Rod Steiger,Dan O'Herlihy,Jack Hawkins,waterloo,Rod Steiger Dan O'Herlihy Jack Hawkins Sergey Bondarchuk Action Drama History War
Teddy Chan,Action Drama,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau,kung fu killer,Siu-Wong Fan Charlie Yeung Wai-Keung Lau Teddy Chan Action Drama
Mario Van Peebles,Action Thriller,Martin Kove,Mario Van Peebles,Jacob Vargas,red sky,Martin Kove Mario Van Peebles Jacob Vargas Mario Van Peebles Action Thriller
Stephen Frears,Drama Romance,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,dangerous liaisons,Keanu Reeves Peter Capaldi Swoosie Kurtz Stephen Frears Drama Romance
Walter Salles,Adventure Drama,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,on the road,Kristen Stewart Viggo Mortensen Kirsten Dunst Walter Salles Adventure Drama
Leonard Nimoy,Adventure Comedy Sci-Fi,Leonard Nimoy,Nichelle Nichols,Walter Koenig,star trek iv: the voyage home,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Adventure Comedy Sci-Fi
Sylvester Stallone,Drama Sport,Sylvester Stallone,Burt Young,Mike Tyson,rocky balboa,Sylvester Stallone Burt Young Mike Tyson Sylvester Stallone Drama Sport
Ericson Core,Action Crime Sport Thriller,Ray Winstone,Edgar Ramírez,Delroy Lindo,point break,Ray Winstone Edgar Ramírez Delroy Lindo Ericson Core Action Crime Sport Thriller
Wes Craven,Horror Mystery,Omar Epps,Jada Pinkett Smith,Kevin Williamson,scream 2,Omar Epps Jada Pinkett Smith Kevin Williamson Wes Craven Horror Mystery
Gavin O'Connor,Action Drama Western,Natalie Portman,Noah Emmerich,Boyd Holbrook,jane got a gun,Natalie Portman Noah Emmerich Boyd Holbrook Gavin O'Connor Action Drama Western
Tim Story,Comedy Romance,Romany Malco,Regina Hall,David Walton,think like a man too,Romany Malco Regina Hall David Walton Tim Story Comedy Romance
Jonathan Lynn,Comedy Crime,Bruce Willis,Matthew Perry,Natasha Henstridge,the whole nine yards,Bruce Willis Matthew Perry Natasha Henstridge Jonathan Lynn Comedy Crime
Herbert Ross,Drama Music Romance,Dianne Wiest,Chris Penn,Lori Singer,footloose,Dianne Wiest Chris Penn Lori Singer Herbert Ross Drama Music Romance
Todd Phillips,Comedy,Will Ferrell,Leah Remini,Patrick Fischler,old school,Will Ferrell Leah Remini Patrick Fischler Todd Phillips Comedy
Terry Gilliam,Comedy Drama Fantasy,Jeff Bridges,David Hyde Pierce,Harry Shearer,the fisher king,Jeff Bridges David Hyde Pierce Harry Shearer Terry Gilliam Comedy Drama Fantasy
Danny Cannon,Horror Mystery,Muse Watson,Mekhi Phifer,Bill Cobbs,i still know what you did last summer,Muse Watson Mekhi Phifer Bill Cobbs Danny Cannon Horror Mystery
Bonnie Hunt,Comedy Drama Romance,Minnie Driver,Jim Belushi,Bonnie Hunt,return to me,Minnie Driver Jim Belushi Bonnie Hunt Bonnie Hunt Comedy Drama Romance
Kevin Smith,Comedy Romance,Gerry Bednob,Jeff Anderson,Jennifer Schwalbach Smith,zack and miri make a porno,Gerry Bednob Jeff Anderson Jennifer Schwalbach Smith Kevin Smith Comedy Romance
Neil LaBute,Comedy Crime Drama,Morgan Freeman,Pruitt Taylor Vince,Kathleen Wilhoite,nurse betty,Morgan Freeman Pruitt Taylor Vince Kathleen Wilhoite Neil LaBute Comedy Crime Drama
Grant Heslov,Comedy War,Kevin Spacey,Jeff Bridges,Stephen Root,the men who stare at goats,Kevin Spacey Jeff Bridges Stephen Root Grant Heslov Comedy War
George Gallo,Action Comedy Crime Thriller,Daniel Roebuck,Eddie Griffin,Garcelle Beauvais,double take,Daniel Roebuck Eddie Griffin Garcelle Beauvais George Gallo Action Comedy Crime Thriller
James Mangold,Biography Drama,Angelina Jolie Pitt,Clea DuVall,Vanessa Redgrave,"girl, interrupted",Angelina Jolie Pitt Clea DuVall Vanessa Redgrave James Mangold Biography Drama
Robert Luketic,Comedy Romance,Topher Grace,Gary Cole,Nathan Lane,win a date with tad hamilton!,Topher Grace Gary Cole Nathan Lane Robert Luketic Comedy Romance
Tim Hill,Adventure Comedy Family Fantasy Music Sci-Fi,Josh Charles,F. Murray Abraham,David Arquette,muppets from space,Josh Charles F. Murray Abraham David Arquette Tim Hill Adventure Comedy Family Fantasy Music Sci-Fi
Sidney Lumet,Adventure Family Fantasy Music Musical,Lena Horne,Diana Ross,Theresa Merritt,the wiz,Lena Horne Diana Ross Theresa Merritt Sidney Lumet Adventure Family Fantasy Music Musical
Brian Robbins,Comedy Sport,Oliver Platt,Ellen Albertini Dow,Martin Landau,ready to rumble,Oliver Platt Ellen Albertini Dow Martin Landau Brian Robbins Comedy Sport
Ron Shelton,Comedy Drama Sport,Willie Garson,Robert Wagner,Lolita Davidovich,play it to the bone,Willie Garson Robert Wagner Lolita Davidovich Ron Shelton Comedy Drama Sport
Douglas McGrath,Comedy Romance,Olivia Munn,Busy Philipps,Jessica Szohr,i don't know how she does it,Olivia Munn Busy Philipps Jessica Szohr Douglas McGrath Comedy Romance
Alexandre Aja,Comedy Horror,Adam Scott,Kelly Brook,Jessica Szohr,piranha 3d,Adam Scott Kelly Brook Jessica Szohr Alexandre Aja Comedy Horror
Kevin Spacey,Biography Drama Music Musical,Kevin Spacey,Bob Hoskins,Brenda Blethyn,beyond the sea,Kevin Spacey Bob Hoskins Brenda Blethyn Kevin Spacey Biography Drama Music Musical
Steve Boyum,Comedy Family,Paul Walker,M.C. Gainey,A.J. Langer,meet the deedles,Paul Walker M.C. Gainey A.J. Langer Steve Boyum Comedy Family
Richard Williams,Action Adventure Animation Comedy Fantasy,Donald Pleasence,Kenneth Williams,Clive Revill,the princess and the cobbler,Donald Pleasence Kenneth Williams Clive Revill Richard Williams Action Adventure Animation Comedy Fantasy
Mary McGuckian,Drama Romance,Robert De Niro,F. Murray Abraham,Geraldine Chaplin,the bridge of san luis rey,Robert De Niro F. Murray Abraham Geraldine Chaplin Mary McGuckian Drama Romance
George Tillman Jr.,Action Crime Drama Thriller,Dwayne Johnson,Tom Berenger,Mike Epps,faster,Dwayne Johnson Tom Berenger Mike Epps George Tillman Jr. Action Crime Drama Thriller
Hayao Miyazaki,Adventure Animation Family Fantasy,Christian Bale,Blythe Danner,Jean Simmons,howl's moving castle,Christian Bale Blythe Danner Jean Simmons Hayao Miyazaki Adventure Animation Family Fantasy
Ruben Fleischer,Adventure Comedy Horror Sci-Fi,Emma Stone,Bill Murray,Derek Graf,zombieland,Emma Stone Bill Murray Derek Graf Ruben Fleischer Adventure Comedy Horror Sci-Fi
Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,king kong,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action Adventure Drama Romance
Frank Coraci,Comedy Sport,Adam Sandler,Clint Howard,Peter Dante,the waterboy,Adam Sandler Clint Howard Peter Dante Frank Coraci Comedy Sport
Irvin Kershner,Action Adventure Fantasy Sci-Fi,Harrison Ford,Kenny Baker,Anthony Daniels,star wars: episode v - the empire strikes back,Harrison Ford Kenny Baker Anthony Daniels Irvin Kershner Action Adventure Fantasy Sci-Fi
Michael Bay,Action Comedy Crime Drama Thriller,Will Smith,Tchéky Karyo,Theresa Randle,bad boys,Will Smith Tchéky Karyo Theresa Randle Michael Bay Action Comedy Crime Drama Thriller
David Zucker,Comedy Crime,George Kennedy,Priscilla Presley,O.J. Simpson,the naked gun 2½: the smell of fear,George Kennedy Priscilla Presley O.J. Simpson David Zucker Comedy Crime
James Wong,Horror Thriller,Daniel Roebuck,Brendan Fehr,Kerr Smith,final destination,Daniel Roebuck Brendan Fehr Kerr Smith James Wong Horror Thriller
George Clooney,Drama,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle,the ides of march,Ryan Gosling Philip Seymour Hoffman Jennifer Ehle George Clooney Drama
David Twohy,Horror Sci-Fi,Vin Diesel,Radha Mitchell,Cole Hauser,pitch black,Vin Diesel Radha Mitchell Cole Hauser David Twohy Horror Sci-Fi
Tony Goldwyn,Comedy Romance,Hugh Jackman,Ellen Barkin,Catherine Dent,someone like you...,Hugh Jackman Ellen Barkin Catherine Dent Tony Goldwyn Comedy Romance
Spike Jonze,Drama Romance Sci-Fi,Scarlett Johansson,Brian Johnson,Matt Letscher,her,Scarlett Johansson Brian Johnson Matt Letscher Spike Jonze Drama Romance Sci-Fi
Dexter Fletcher,Biography Comedy Drama Sport,Hugh Jackman,Taron Egerton,Tim McInnerny,eddie the eagle,Hugh Jackman Taron Egerton Tim McInnerny Dexter Fletcher Biography Comedy Drama Sport
John Dahl,Mystery Thriller,Paul Walker,Jessica Bowman,Dell Yount,joy ride,Paul Walker Jessica Bowman Dell Yount John Dahl Mystery Thriller
Jonathan Newman,Adventure Family Fantasy,Ioan Gruffudd,Keeley Hawes,Oliver Stark,the adventurer: the curse of the midas box,Ioan Gruffudd Keeley Hawes Oliver Stark Jonathan Newman Adventure Family Fantasy
Wayne Wang,Comedy Drama,Natalie Portman,Eva Amurri Martino,Shawn Hatosy,anywhere but here,Natalie Portman Eva Amurri Martino Shawn Hatosy Wayne Wang Comedy Drama
Andy Cadiff,Comedy Romance,Annabella Sciorra,Stark Sands,Terence Maynard,chasing liberty,Annabella Sciorra Stark Sands Terence Maynard Andy Cadiff Comedy Romance
Michael Dinner,Comedy Crime,Seymour Cassel,Dan Hedaya,Lainie Kazan,the crew,Seymour Cassel Dan Hedaya Lainie Kazan Michael Dinner Comedy Crime
Steven Soderbergh,Action Thriller,Channing Tatum,Michael Fassbender,Michael Angarano,haywire,Channing Tatum Michael Fassbender Michael Angarano Steven Soderbergh Action Thriller
Joseph Sargent,Adventure Horror Thriller,Judith Barsi,Mario Van Peebles,Lynn Whitfield,jaws: the revenge,Judith Barsi Mario Van Peebles Lynn Whitfield Joseph Sargent Adventure Horror Thriller
Jerry Zaks,Drama,Leonardo DiCaprio,Robert De Niro,Meryl Streep,marvin's room,Leonardo DiCaprio Robert De Niro Meryl Streep Jerry Zaks Drama
Fred Durst,Biography Comedy Drama Family Sport,Tasha Smith,Dash Mihok,Garrett Morris,the longshots,Tasha Smith Dash Mihok Garrett Morris Fred Durst Biography Comedy Drama Family Sport
Neil Jordan,Drama Romance,Stephen Rea,Ian Hart,James Bolam,the end of the affair,Stephen Rea Ian Hart James Bolam Neil Jordan Drama Romance
Simon Wincer,Action Crime Drama Thriller Western,Vanessa Williams,Tia Carrere,Don Johnson,harley davidson and the marlboro man,Vanessa Williams Tia Carrere Don Johnson Simon Wincer Action Crime Drama Thriller Western
Paul Haggis,Crime Drama Mystery Thriller,James Franco,Charlize Theron,Barry Corbin,in the valley of elah,James Franco Charlize Theron Barry Corbin Paul Haggis Crime Drama Mystery Thriller
Anne Fontaine,Biography Drama,Alessandro Nivola,Benoît Poelvoorde,Marie Gillain,coco before chanel,Alessandro Nivola Benoît Poelvoorde Marie Gillain Anne Fontaine Biography Drama
Jon Cassar,Drama Western,Demi Moore,Landon Liboiron,Michael Wincott,forsaken,Demi Moore Landon Liboiron Michael Wincott Jon Cassar Drama Western
Stephen Frears,Comedy Drama Romance,Tom Burke,Iben Hjejle,Gaye Brown,chéri,Tom Burke Iben Hjejle Gaye Brown Stephen Frears Comedy Drama Romance
Not Available,Action Crime Drama Thriller,Cole Hauser,Sarah Carter,Derek Luke,rogue,Cole Hauser Sarah Carter Derek Luke Not Available Action Crime Drama Thriller
Mira Nair,Drama,Romola Garai,Roger Lloyd Pack,Lillete Dubey,vanity fair,Romola Garai Roger Lloyd Pack Lillete Dubey Mira Nair Drama
Teddy Chan,Action Drama History,Bingbing Fan,Simon Yam,Nicholas Tse,bodyguards and assassins,Bingbing Fan Simon Yam Nicholas Tse Teddy Chan Action Drama History
Mikael Håfström,Fantasy Horror,Drew Powell,Kim Thomson,Alexandra Silber,1408,Drew Powell Kim Thomson Alexandra Silber Mikael Håfström Fantasy Horror
Mel Brooks,Adventure Comedy Sci-Fi,Joan Rivers,Dick Van Patten,Michael Winslow,spaceballs,Joan Rivers Dick Van Patten Michael Winslow Mel Brooks Adventure Comedy Sci-Fi
Russell Crowe,Drama War,Cem Yilmaz,Ryan Corr,Steve Bastoni,the water diviner,Cem Yilmaz Ryan Corr Steve Bastoni Russell Crowe Drama War
Jerry Zucker,Drama Fantasy Romance Thriller,Demi Moore,Tony Goldwyn,Phil Leeds,ghost,Demi Moore Tony Goldwyn Phil Leeds Jerry Zucker Drama Fantasy Romance Thriller
Bobby Farrelly,Comedy Romance,Sarah Silverman,Lin Shaye,Richard Tyson,there's something about mary,Sarah Silverman Lin Shaye Richard Tyson Bobby Farrelly Comedy Romance
John Pasquin,Comedy Drama Family Fantasy,Judge Reinhold,Eric Lloyd,Peter Boyle,the santa clause,Judge Reinhold Eric Lloyd Peter Boyle John Pasquin Comedy Drama Family Fantasy
John Lee Hancock,Drama Family Sport,Dennis Quaid,Jay Hernandez,Angus T. Jones,the rookie,Dennis Quaid Jay Hernandez Angus T. Jones John Lee Hancock Drama Family Sport
Andy Fickman,Comedy Family Sport,Dwayne Johnson,Kyra Sedgwick,Madison Pettis,the game plan,Dwayne Johnson Kyra Sedgwick Madison Pettis Andy Fickman Comedy Family Sport
Clint Eastwood,Drama Romance,Clint Eastwood,Meryl Streep,Debra Monk,the bridges of madison county,Clint Eastwood Meryl Streep Debra Monk Clint Eastwood Drama Romance
Luke Greenfield,Comedy Sci-Fi,Louis Lombardi,Michael Papajohn,Colleen Haskell,the animal,Louis Lombardi Michael Papajohn Colleen Haskell Luke Greenfield Comedy Sci-Fi
Richard Attenborough,Biography Drama History,Candice Bergen,Amrish Puri,John Gielgud,gandhi,Candice Bergen Amrish Puri John Gielgud Richard Attenborough Biography Drama History
Lasse Hallström,Comedy Drama,Manish Dayal,Charlotte Le Bon,Juhi Chawla,the hundred-foot journey,Manish Dayal Charlotte Le Bon Juhi Chawla Lasse Hallström Comedy Drama
Irwin Winkler,Action Crime Drama Mystery Thriller,Ken Howard,Jeremy Northam,Ray McKinnon,the net,Ken Howard Jeremy Northam Ray McKinnon Irwin Winkler Action Crime Drama Mystery Thriller
Jessie Nelson,Drama,Dianne Wiest,Loretta Devine,Richard Schiff,i am sam,Dianne Wiest Loretta Devine Richard Schiff Jessie Nelson Drama
Christopher Spencer,Biography Drama History,Roma Downey,Amber Rose Revah,Darwin Shaw,son of god,Roma Downey Amber Rose Revah Darwin Shaw Christopher Spencer Biography Drama History
Len Wiseman,Action Fantasy Thriller,Sophia Myles,Kevin Grevioux,Shane Brolly,underworld,Sophia Myles Kevin Grevioux Shane Brolly Len Wiseman Action Fantasy Thriller
Mikael Håfström,Drama Thriller,Denis O'Hare,RZA,Xzibit,derailed,Denis O'Hare RZA Xzibit Mikael Håfström Drama Thriller
Steven Soderbergh,Comedy Crime Drama Thriller,Matt Damon,Joel McHale,Thomas F. Wilson,the informant!,Matt Damon Joel McHale Thomas F. Wilson Steven Soderbergh Comedy Crime Drama Thriller
Richard Attenborough,Biography Drama Romance,Anthony Hopkins,James Frain,Julian Fellowes,shadowlands,Anthony Hopkins James Frain Julian Fellowes Richard Attenborough Biography Drama Romance
Mike Bigelow,Comedy,Carlos Ponce,Eddie Griffin,Charles Keating,deuce bigalow: european gigolo,Carlos Ponce Eddie Griffin Charles Keating Mike Bigelow Comedy
Ken Scott,Comedy Drama,Jack Reynor,Bobby Moynihan,Matthew Daddario,delivery man,Jack Reynor Bobby Moynihan Matthew Daddario Ken Scott Comedy Drama
Paul McGuigan,Drama Horror Sci-Fi Thriller,Daniel Radcliffe,Spencer Wilding,Daniel Mays,victor frankenstein,Daniel Radcliffe Spencer Wilding Daniel Mays Paul McGuigan Drama Horror Sci-Fi Thriller
Susanna White,Thriller,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,our kind of traitor,Radivoje Bukvic Pawel Szajda Grigoriy Dobrygin Susanna White Thriller
Dennis Dugan,Comedy Crime Romance,Amanda Detmer,Neil Diamond,Kyle Gass,saving silverman,Amanda Detmer Neil Diamond Kyle Gass Dennis Dugan Comedy Crime Romance
David Bowers,Comedy Family,Zachary Gordon,Rachael Harris,Karan Brar,diary of a wimpy kid: dog days,Zachary Gordon Rachael Harris Karan Brar David Bowers Comedy Family
Spike Lee,Crime Drama Romance Thriller,Mira Sorvino,Jennifer Esposito,Mike Starr,summer of sam,Mira Sorvino Jennifer Esposito Mike Starr Spike Lee Crime Drama Romance Thriller
Kevin Smith,Comedy,Will Ferrell,Shannon Elizabeth,Jason Mewes,jay and silent bob strike back,Will Ferrell Shannon Elizabeth Jason Mewes Kevin Smith Comedy
Michael Bay,Action Adventure Romance Sci-Fi Thriller,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,the island,Scarlett Johansson Steve Buscemi Djimon Hounsou Michael Bay Action Adventure Romance Sci-Fi Thriller
Daniel Sackheim,Crime Drama Mystery Thriller,Chris Noth,Bruce Dern,Trevor Morgan,the glass house,Chris Noth Bruce Dern Trevor Morgan Daniel Sackheim Crime Drama Mystery Thriller
Ethan Coen,Comedy Mystery,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,"hail, caesar!",Scarlett Johansson Channing Tatum Alden Ehrenreich Ethan Coen Comedy Mystery
Harry Elfont,Comedy Music,Rosario Dawson,Paulo Costanzo,Aries Spears,josie and the pussycats,Rosario Dawson Paulo Costanzo Aries Spears Harry Elfont Comedy Music
Gary Fleder,Action Crime Drama Thriller,Jason Statham,James Franco,Frank Grillo,homefront,Jason Statham James Franco Frank Grillo Gary Fleder Action Crime Drama Thriller
Uli Edel,Adventure Comedy Family Fantasy,Richard E. Grant,Jim Carter,Alice Krige,the little vampire,Richard E. Grant Jim Carter Alice Krige Uli Edel Adventure Comedy Family Fantasy
David O. Russell,Comedy,Naomi Watts,Lily Tomlin,Isabelle Huppert,i heart huckabees,Naomi Watts Lily Tomlin Isabelle Huppert David O. Russell Comedy
Fred Dekker,Action Crime Sci-Fi Thriller,CCH Pounder,Rip Torn,Mako,robocop 3,CCH Pounder Rip Torn Mako Fred Dekker Action Crime Sci-Fi Thriller
Brian Trenchard-Smith,Action Adventure Fantasy Sci-Fi Thriller,Michael Biehn,Udo Kier,Franco Nero,megiddo: the omega code 2,Michael Biehn Udo Kier Franco Nero Brian Trenchard-Smith Action Adventure Fantasy Sci-Fi Thriller
Blake Edwards,Comedy Drama Musical Romance War,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,darling lili,Rock Hudson Vernon Dobtcheff Jeremy Kemp Blake Edwards Comedy Drama Musical Romance War
Hugh Wilson,Comedy Family Romance,Brendan Fraser,Alex Rocco,Eric Idle,dudley do-right,Brendan Fraser Alex Rocco Eric Idle Hugh Wilson Comedy Family Romance
Camille Delamarre,Action Crime Thriller,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,the transporter refueled,Ed Skrein Noémie Lenoir Radivoje Bukvic Camille Delamarre Action Crime Thriller
Laurence Dunmore,Drama Romance,Johnny Depp,Jack Davenport,Richard Coyle,the libertine,Johnny Depp Jack Davenport Richard Coyle Laurence Dunmore Drama Romance
Paul Verhoeven,Drama Thriller War,Michiel Huisman,Sebastian Koch,Christian Berkel,black book,Michiel Huisman Sebastian Koch Christian Berkel Paul Verhoeven Drama Thriller War
Christian Carion,Drama History Music Romance War,Gary Lewis,Dany Boon,Ian Richardson,joyeux noel,Gary Lewis Dany Boon Ian Richardson Christian Carion Drama History Music Romance War
David Palmer,Action Comedy Romance,Bradley Cooper,Tom Arnold,Beau Bridges,hit and run,Bradley Cooper Tom Arnold Beau Bridges David Palmer Action Comedy Romance
Callie Khouri,Comedy Crime Thriller,Stephen Root,Ted Danson,Roger Cross,mad money,Stephen Root Ted Danson Roger Cross Callie Khouri Comedy Crime Thriller
Rowan Joffe,Drama Mystery Thriller,Colin Firth,Ben Crompton,Anne-Marie Duff,before i go to sleep,Colin Firth Ben Crompton Anne-Marie Duff Rowan Joffe Drama Mystery Thriller
William Friedkin,Adventure Drama Thriller,Roy Scheider,Joe Spinell,Amidou,sorcerer,Roy Scheider Joe Spinell Amidou William Friedkin Adventure Drama Thriller
John Curran,Drama Thriller,Robert De Niro,Milla Jovovich,Frances Conroy,stone,Robert De Niro Milla Jovovich Frances Conroy John Curran Drama Thriller
Laurent Tirard,Comedy History,Romain Duris,Ludivine Sagnier,Fabrice Luchini,molière,Romain Duris Ludivine Sagnier Fabrice Luchini Laurent Tirard Comedy History
Scott Cooper,Crime Drama Thriller,Christian Bale,Sam Shepard,Dendrie Taylor,out of the furnace,Christian Bale Sam Shepard Dendrie Taylor Scott Cooper Crime Drama Thriller
Tony Gilroy,Crime Drama Mystery Thriller,Tom Wilkinson,Denis O'Hare,Sydney Pollack,michael clayton,Tom Wilkinson Denis O'Hare Sydney Pollack Tony Gilroy Crime Drama Mystery Thriller
Peter Segal,Adventure Comedy,Wilford Brimley,Bradley Whitford,Sela Ward,my fellow americans,Wilford Brimley Bradley Whitford Sela Ward Peter Segal Adventure Comedy
Mark Pellington,Crime Drama Thriller,Jeff Bridges,Spencer Treat Clark,Hope Davis,arlington road,Jeff Bridges Spencer Treat Clark Hope Davis Mark Pellington Crime Drama Thriller
Juan José Campanella,Adventure Animation Family Sport,Pablo Rago,Diego Ramos,Gabriel Almirón,underdogs,Pablo Rago Diego Ramos Gabriel Almirón Juan José Campanella Adventure Animation Family Sport
Woody Allen,Comedy Romance,Ornella Muti,Judy Davis,Alessandra Mastronardi,to rome with love,Ornella Muti Judy Davis Alessandra Mastronardi Woody Allen Comedy Romance
Clint Eastwood,Action Adventure Thriller,Clint Eastwood,Warren Clarke,Kenneth Colley,firefox,Clint Eastwood Warren Clarke Kenneth Colley Clint Eastwood Action Adventure Thriller
Trey Parker,Animation Comedy Fantasy Musical,Minnie Driver,Eric Idle,Trey Parker,south park: bigger longer & uncut,Minnie Driver Eric Idle Trey Parker Trey Parker Animation Comedy Fantasy Musical
Frank Oz,Comedy,Peter Dinklage,Ewen Bremner,Kris Marshall,death at a funeral,Peter Dinklage Ewen Bremner Kris Marshall Frank Oz Comedy
Stuart Gillard,Action Adventure Comedy Family Fantasy Sci-Fi,Paige Turco,John Aylward,Matt Hill,teenage mutant ninja turtles iii,Paige Turco John Aylward Matt Hill Stuart Gillard Action Adventure Comedy Family Fantasy Sci-Fi
