,title,cast_and_crew
153,The Fanatic,"Fred Durst (director/screenplay), Dave Bekerman (screenplay); John Travolta, Devon Sawa, Ana Golja, Jacob Grodnik, James Paxton, Jeff Chase, Luis Da Silva"
154,It Chapter Two,"Andy Muschietti (director); Gary Dauberman (screenplay); James McAvoy, Jessica Chastain, Bill Hader, Isaiah Mustafa, Jay Ryan, James Ransone, Andy Bean, Jaeden Martell, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jeremy Ray Taylor, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård"
155,Satanic Panic,"Chelsea Stardust (director); Grady Hendrix (screenplay); Hayley Griffith, Ruby Modine, Arden Myrin, A. J. Bowen, Jordan Ladd, Rebecca Romijn, Jerry O'Connell, Hannah Stocking"
156,The Obituary of Tunde Johnson,"Ali LeRoi (director); Stanley Kalu (screenplay); Steven Silver, Nicola Peltz"
157,The Goldfinch,"John Crowley (director); Peter Straughan (screenplay); Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman"
158,Hustlers,"Lorene Scafaria (director/screenplay); Constance Wu, Jennifer Lopez, Julia Stiles, Keke Palmer, Lili Reinhart, Lizzo, Cardi B"
159,The Sound of Silence,"Michael Tyburski (director/screenplay); Ben Nabors (screenplay); Rashida Jones, Peter Sarsgaard, Tony Revolori, Austin Pendleton"
160,Monos,"Alejandro Landes (director); Alejandro Landes, Alexis Dos Santos (screenplay); Julianne Nicholson, Moisés Arias"
161,Tall Girl,"Nzingha Stewart (director); Sam Wolfson (screenplay); Ava Michelle, Griffin Gluck, Luke Eisner, Sabrina Carpenter, Paris Berelc"
162,Ad Astra,"James Gray (director/screenplay); Ethan Gross (screenplay); Brad Pitt, Tommy Lee Jones, Ruth Negga, Liv Tyler, Donald Sutherland, John Ortiz, Lisa Gay Hamilton, Freda Foh Shen, Natasha Lyonne"
163,Downton Abbey,"Michael Engler (director); Julian Fellowes (screenplay); Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Maggie Smith, Imelda Staunton, Penelope Wilton"
164,Rambo: Last Blood,"Adrian Grunberg (director); Sylvester Stallone, Matt Cirulnick (screenplay); Sylvester Stallone, Adriana Barraza, Paz Vega, Yvette Monreal, Sergio Peris-Mencheta, Oscar Jaenada, Joaquín Cosío"
165,Bloodline,"Henry Jacobson (director); Avra Fox-Lerne, Henry Jacobson, Will Honley (screenplay); Seann William Scott, Mariela Garriga, Dale Dickey, Kevin Carroll"
166,Running with the Devil,"Jason Cabell (director/screenplay); Nicolas Cage, Laurence Fishburne"
167,Fractured,"Brad Anderson (director); Alan B. McElroy (screenplay); Sam Worthington, Lily Rabe, Stephen Tobolowsky"
168,Abominable,"Jill Culton (director/screenplay); Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Eddie Izzard, Sarah Paulson"
169,The Laundromat,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Meryl Streep, Gary Oldman, Antonio Banderas, Jeffrey Wright, Robert Patrick, David Schwimmer, Sharon Stone"
170,Judy,"Rupert Goold (director); Tom Edge (screenplay); Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon"
171,Prey,"Franck Khalfoun (director); David Coggeshall, Franck Khalfoun (screenplay); Logan Miller, Kristine Froseth"
172,Joker,"Todd Phillips (director/screenplay); Scott Silver (screenplay); Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, Marc Maron"
173,Lucy in the Sky,"Noah Hawley (director/screenplay); Brian C. Brown, Elliott DiGuiseppi (screenplay); Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens, Colman Domingo, Ellen Burstyn"
174,Dolemite Is My Name,"Craig Brewer (director); Scott Alexander and Larry Karaszewski (screenplay); Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Wesley Snipes"
175,In the Tall Grass,"Vincenzo Natali (director/screenplay); Patrick Wilson, Harrison Gilbertson, Rachel Wilson"
176,Low Tide,"Kevin McMullin (director/screenplay); Keean Johnson, Jaeden Martell, Alex Neustaedter, Kristine Froseth, Shea Whigham"
177,Wrinkles the Clown,"Michael Beach Nichols (director); Michael Beach Nichols, Christopher K. Walker (screenplay)"
178,Little Monsters,"Abe Forsythe (director/screenplay); Lupita Nyong'o, Alexander England, Josh Gad"
179,Gemini Man,"Ang Lee (director); David Benioff, Billy Ray, Darren Lemke (screenplay); Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong"
180,The Addams Family,"Conrad Vernon, Greg Tiernan (directors); Matt Lieberman, Pamela Pettler (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard, Nick Kroll, Snoop Dogg, Bette Midler, Allison Janney"
181,The King,"David Michôd (director/screenplay); Joel Edgerton (screenplay); Timothée Chalamet, Joel Edgerton, Sean Harris, Lily-Rose Depp, Robert Pattinson, Ben Mendelsohn"
182,Jexi,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña"
183,Polaroid,"Lars Klevberg (director); Blair Butler (screenplay); Kathryn Prescott, Grace Zabriskie, Samantha Logan, Tyler Young, Javier Botet, Katie Stevens, Madelaine Petsch"
184,El Camino: A Breaking Bad Movie,"Vince Gilligan (director/screenplay); Aaron Paul, Jesse Plemons, Scott MacArthur, Scott Shepherd, Charles Baker, Matt Jones, Robert Forster"
185,Maleficent: Mistress of Evil,"Joachim Rønning (director); Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue (screenplay); Angelina Jolie, Elle Fanning, Michelle Pfeiffer, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville"
186,Zombieland: Double Tap,"Ruben Fleischer (director); Rhett Reese, Paul Wernick, David Callaham (screenplay); Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Rosario Dawson, Zoey Deutch, Luke Wilson"
187,Jojo Rabbit,"Taika Waititi (director/screenplay); Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell"
188,The Lighthouse,"Robert Eggers (director/screenplay); Max Eggers (screenplay); Willem Dafoe, Robert Pattinson"
189,Wounds,"Babak Anvari (director/screenplay); Armie Hammer, Dakota Johnson, Zazie Beetz"
190,Black and Blue,"Deon Taylor (director); Peter A. Dowling (screenplay); Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp"
191,The Current War,"Alfonso Gomez-Rejon (director); Michael Mitnick (screenplay); Benedict Cumberbatch, Michael Shannon, Katherine Waterston, Tom Holland, Tuppence Middleton, Matthew Macfadyen, Nicholas Hoult"
192,Countdown,"Justin Dec (director/screenplay); Elizabeth Lail, Peter Facinelli, Anne Winters, Talitha Bateman, Tichina Arnold, P. J. Byrne"
193,The Kill Team,"Dan Krauss (director); Nat Wolff, Alexander Skarsgård"
194,The Gallows Act II,"Chris Lofing, Travis Cluff (director/screenplay); Chris Milligan, Ema Horvath, Brittany Falardeau"
195,Terminator: Dark Fate,"Tim Miller (director); David S. Goyer, Justin Rhodes, Billy Ray (screenplay); Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta"
196,Motherless Brooklyn,"Edward Norton (director/screenplay); Edward Norton, Bruce Willis, Gugu Mbatha-Raw, Bobby Cannavale, Cherry Jones, Alec Baldwin, Willem Dafoe"
197,The Irishman,"Martin Scorsese (director); Steven Zaillian (screenplay); Robert De Niro, Al Pacino, Joe Pesci, Ray Romano, Bobby Canavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jesse Plemons, Harvey Keitel"
198,Harriet,"Kasi Lemmons (director/screenplay); Gregory Allen Howard (screenplay); Cynthia Erivo, Leslie Odom Jr., Joe Alwyn, Janelle Monáe"
199,Arctic Dogs,"Aaron Woodley (director/screenplay); Bob Barlen, Cal Brunker (screenplay); Jeremy Renner, James Franco, Heidi Klum, Alec Baldwin, Omar Sy, Anjelica Huston, John Cleese"
200,Marriage Story,"Noah Baumbach (director/screenplay); Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever"
201,Doctor Sleep,"Mike Flanagan (director/screenplay); Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Carl Lumbly, Zahn McClarnon, Emily Alyn Lind, Bruce Greenwood, Jocelin Donahue"
202,Last Christmas,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson"
203,Playing with Fire,"Andy Fickman (director); Dan Ewen, Matt Lieberman (screenplay); John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand, Dennis Haysbert, Judy Greer"
204,Let It Snow,"Luke Snellin (director); Laura Solon, Victoria Strouse, Kay Cannon (screenplay); Isabela Merced, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack"
205,Midway,"Roland Emmerich (director); Wes Tooke (screenplay); Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Mandy Moore, Dennis Quaid, Woody Harrelson"
206,Klaus,"Sergio Pablos (director); Zach Lewis, Jim Mahoney (screenplay); J. K. Simmons, Jason Schwartzman, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack"
207,Honey Boy,"Alma Har'el (director); Shia LaBeouf (screenplay); Shia LaBeouf, Lucas Hedges, Noah Jupe, FKA Twigs"
208,Lady and the Tramp,"Charlie Bean (director); Andrew Bujalski, Kari Granlund (screenplay); Tessa Thompson, Justin Theroux, Kiersey Clemons, Thomas Mann, Janelle Monáe, F. Murray Abraham, Yvette Nicole Brown, Adrian Martinez, Ken Jeong, Sam Elliott"
209,Noelle,"Marc Lawrence (director/screenplay); Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine"
210,Ford v Ferrari,"James Mangold (director); Jez Butterworth, John-Henry Butterworth, Jason Keller (screenplay); Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon"
211,Charlie's Angels,"Elizabeth Banks (director/screenplay); Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart"
212,The Good Liar,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Helen Mirren, Russell Tovey, Jim Carter"
213,The Report,"Scott Z. Burns (director/screenplay); Adam Driver, Annette Bening, Ted Levine, Michael C. Hall, Tim Blake Nelson, Corey Stoll, Maura Tierney, Jon Hamm"
214,Waves,"Trey Edward Shults (director/screenplay); Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie, Renée Elise Goldsberry, Sterling K. Brown"
215,Frozen II,"Chris Buck, Jennifer Lee (directors); Jennifer Lee (screenplay); Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds"
216,A Beautiful Day in the Neighborhood,"Marielle Heller (director); Micah Fitzerman-Blue, Noah Harpster (screenplay); Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper"
217,21 Bridges,"Brian Kirk (director); Matthew Michael Carnahan, Adam Mervis (screenplay); Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J.K. Simmons"
218,Dark Waters,"Todd Haynes (director); Mario Correa, Matthew Michael Carnahan (screenplay); Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Bill Pullman"
219,Knives Out,"Rian Johnson (director/screenplay); Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer"
220,Queen & Slim,"Melina Matsoukas (director); Lena Waithe (screenplay); Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny, Flea, Sturgill Simpson, Indya Moore"
221,The Two Popes,"Fernando Meirelles (director); Anthony McCarten (screenplay); Anthony Hopkins, Jonathan Pryce"
222,Playmobil: The Movie,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert"
223,The Aeronauts,"Tom Harper (director); Jack Thorne (screenplay); Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay"
224,A Million Little Pieces,"Sam Taylor-Johnson (director/screenplay); Aaron Taylor-Johnson (screenplay); Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi, Juliette Lewis, Charlie Hunnam"
225,Daniel Isn't Real,"Adam Egypt Mortimer (director/screenplay); Brian DeLeeuw (screenplay); Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson, Hannah Marks, Chukwudi Iwuji, Peter McRobbie"
226,Jumanji: The Next Level,"Jake Kasdan (director/screenplay); Scott Rosenberg, Jeff Pinkner (screenplay); Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Rory McCann, Alex Wolff, Morgan Turner, Ser'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito"
227,Richard Jewell,"Clint Eastwood (director); Billy Ray (screenplay); Paul Walter Hauser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde"
228,Black Christmas,"Sophia Takal (director/screenplay); April Wolfe (screenplay); Imogen Poots, Lily Donoghue, Aleyse Shannon, Brittany O'Grady, Caleb Eberhardt, Cary Elwes"
229,6 Underground,"Michael Bay (director); Rhett Reese, Paul Wernick (screenplay); Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Payman Maadi, Corey Hawkins, Ben Hardy, Dave Franco"
230,Bombshell,"Jay Roach (director); Charles Randolph (screenplay); Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Connie Britton, Mark Duplass, Rob Delaney, Malcolm McDowell, Allison Janney"
231,Uncut Gems,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian"
232,Seberg,"Benedict Andrews (director); Joe Shrapnel, Anna Waterhouse (screenplay); Kristen Stewart, Jack O'Connell, Margaret Qualley, Zazie Beetz, Vince Vaughn, Anthony Mackie"
233,A Hidden Life,"Terrence Malick (director/screenplay); August Diehl, Valerie Pachner, Matthias Schoenaerts"
234,Star Wars: The Rise of Skywalker,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams"
235,Cats,"Tom Hooper (director/screenplay); Lee Hall (screenplay); James Corden, Judi Dench, Jason Derulo, Idris Elba, Jennifer Hudson, Ian McKellen, Taylor Swift, Rebel Wilson, Ray Winstone, Francesca Hayward"
236,Togo,"Ericson Core (director); Tom Flynn (screenplay); Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Michael Gaston, Michael McElhatton, Jamie McShane, Michael Greyeyes, Thorbjørn Harr, Shaun Benson, Nikolai Nikolaeff"
237,Spies in Disguise,"Nick Bruno, Troy Quane (directors); Brad Copeland (screenplay); Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Reba McEntire, Rachel Brosnahan, Karen Gillan, DJ Khaled, Masi Oka"
238,Little Women,"Greta Gerwig (director/screenplay); Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Chris Cooper"
239,1917,"Sam Mendes (director/screenplay); Krysty Wilson-Cairns (screenplay); George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch"
240,Just Mercy,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlanc"
241,Clemency,"Chinonye Chukwu (director/screenplay); Alfre Woodard, Wendell Pierce, Aldis Hodge, Richard Schiff, Danielle Brooks"
