,title,cast_and_crew
162,Enola Holmes,"Harry Bradbeer (director); Jack Thorne (screenplay); Millie Bobby Brown, Henry Cavill, Sam Claflin, Adeel Akhtar, Fiona Shaw, Frances de la Tour, Louis Partridge, Susie Wokoma, Helena Bonham Carter"
163,The Trial of the Chicago 7,"Aaron Sorkin (director/screenplay); Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Eddie Redmayne, Noah Robbins, Mark Rylance, Alex Sharp, Jeremy Strong"
164,Ava,"Tate Taylor (director); Matthew Newton (screenplay); Jessica Chastain, John Malkovich, Common, Geena Davis, Colin Farrell, Ioan Gruffudd, Joan Chen"
165,Kajillionaire,"Miranda July (director/screenplay); Evan Rachel Wood, Richard Jenkins, Debra Winger, Gina Rodriguez"
166,The Last Shift,"Andrew Cohn (director/screenplay); Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill"
167,Secret Society of Second-Born Royals,"Anna Mastro (director); Alex Litvak, Andrew Green (screenplay); Peyton Elizabeth Lee, Skylar Astin, Élodie Yung"
168,She's in Portland,"Marc Carlini (director/screenplay); Patrick Alexander (screenplay); Tommy Dewey, François Arnaud, Minka Kelly"
169,Sightless,"Cooper Karl (director/screenplay); Madelaine Petsch, Alexander Koch"
170,The Boys in the Band,"Joe Mantello (director); Mart Crowley (screenplay); Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins"
171,The Glorias,"Julie Taymor (director/screenplay); Sarah Ruhl (screenplay); Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler"
172,On the Rocks,"Sofia Coppola (director/screenplay); Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate"
173,Spontaneous,"Brian Duffield (director/screenplay); Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji"
174,Vampires vs. the Bronx,"Osmany Rodriguez (director/screenplay); Blaise Hemingway (screenplay); Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham"
175,Possessor,"Brandon Cronenberg (director/screenplay); Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh"
176,Death of Me,"Darren Lynn Bousman (director); Arli Margolis, James Morley III, David Tish (screenplay); Maggie Q, Alex Essoe, Luke Hemsworth"
177,The Call,"Timothy Woodward Jr. (director); Patrick Stibbs (screenplay); Lin Shaye, Tobin Bell"
178,American Pie Presents: Girls' Rules,"Mike Elliott (director); David H. Steinberg, Blayne Weaver (screenplay); Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Zachary Gordon"
179,The Lie,"Veena Sud (director/screenplay); Mireille Enos, Peter Sarsgaard, Joey King"
180,Black Box,"Emmanuel Osei-Kuffour Jr. (director/screenplay);  Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad"
181,Hubie Halloween,"Steven Brill (director); Adam Sandler, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Rob Schneider, June Squibb, Kenan Thompson, Shaquille O'Neal, Steve Buscemi, Maya Rudolph"
182,Books of Blood,"Brannon Braga (director/screenplay); Adam Simon (screenplay); Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez"
183,Charm City Kings,"Angel Manuel Soto (director); Sherman Payne (screenplay); Jahi Di'Allo Winston, Meek Mill, Will Catlett, Teyonah Parris"
184,The War with Grandpa,"Tim Hill (director); Tom J. Astle, Matt Ember (screenplay); Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley, Cheech Marin, Jane Seymour, Christopher Walken"
185,A Rainy Day in New York,"Woody Allen (director/screenplay); Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber"
186,Yellow Rose,"Diane Paragas (director/screenplay); Annie J. Howell, Celena Cipriaso (screenplay); Eva Noblezada, Dale Watson, Princess Punzalan, Lea Salonga"
187,The 40-Year-Old Version,"Radha Blank (director/screenplay); Radha Blank, Peter Kim, Oswin Benjamin, Reed Birney"
188,Nocturne,"Zu Quirke (director/screenplay); Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw"
189,Evil Eye,"Elan Dassani, Rajeev Dassani (directors); Madhuri Shekar (screenplay); Sarita Choudhury, Sunita Mani, Omar Maskati, Bernard White"
190,A Babysitter's Guide to Monster Hunting,"Rachel Talalay (director); Joe Ballarini (screenplay); Tamara Smart, Oona Laurence, Tom Felton, Indya Moore"
191,Love and Monsters,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Ariana Greenblatt, Michael Rooker"
192,Honest Thief,"Mark Williams (director/screenplay); Steve Allrich (screenplay); Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney"
193,Clouds,"Justin Baldoni (director); Kara Holden (screenplay); Fin Argus, Sabrina Carpenter, Madison Iseman, Lil Rel Howery, Neve Campbell, Tom Everett Scott"
194,The Devil Has a Name,"Edward James Olmos (director); Robert McEveety (screenplay); David Strathairn, Kate Bosworth, Pablo Schreiber, Edward James Olmos, Katie Aselton, Haley Joel Osment, Alfred Molina, Martin Sheen"
195,The Kid Detective,"Evan Morgan (director/screenplay); Adam Brody, Sophie Nélisse, Tzi Ma, Wendy Crewson, Sarah Sutherland"
196,Alone,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland"
197,2 Hearts,"Lance Hool (director); Veronica Hool, Robin U. Russin (screenplay); Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell"
198,The Opening Act,"Steve Byrne (director/screenplay); Jimmy O. Yang, Alex Moffat, Cedric the Entertainer"
199,Tremors: Shrieker Island,"Don Michael Paul (director/screenplay); Brian Brightly (screenplay); Michael Gross, Jon Heder"
200,The Witches,"Robert Zemeckis (director/screenplay); Kenya Barris, Guillermo del Toro (screenplay); Anne Hathaway, Octavia Spencer, Stanley Tucci, Jahzir Bruno, Codie-Lei Eastick, Kristin Chenoweth, Chris Rock"
201,Over the Moon,"Glen Keane (director); Audrey Wells (screenplay); Cathy Ang, Phillipa Soo, Ken Jeong, John Cho, Ruthie Ann Miles, Margaret Cho, Sandra Oh"
202,Borat Subsequent Moviefilm,"Jason Woliner (director); Peter Baynham, Sacha Baron Cohen, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja, Dan Swimer (screenplay); Sacha Baron Cohen, Maria Bakalova"
203,After We Collided,"Roger Kumble (director); Anna Todd, Mario Celaya (screenplay); Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Shane Paul McGhie, Candice King, Khadijha Red Thunder, Inanna Sarkis, Samuel Larsen, Selma Blair"
204,The Empty Man,"David Prior (director/screenplay); James Badge Dale, Marin Ireland, Stephen Root, Ron Canada, Robert Aramayo, Joel Courtney, Sasha Frolova"
205,Synchronic,"Justin Benson, Aaron Moorhead (directors) Justin Benson (screenplay); Anthony Mackie, Jamie Dornan"
206,Children of the Corn,"Kurt Wimmer (director/screenplay); Elena Kampouris, Kate Moyer, Callan Mulvey, Bruce Spence"
207,Bad Hair,"Justin Simien (director/screenplay); Elle Lorraine, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood, Laverne Cox"
208,Friendsgiving,"Nicol Paone (director/screenplay); Malin Åkerman, Kat Dennings, Aisha Tyler, Chelsea Peretti, Ryan Hansen"
209,The Craft: Legacy,"Zoe Lister-Jones (director/screenplay); Cailee Spaeny, Gideon Adlon, Lovie Simone, Zoey Luna, Michelle Monaghan, David Duchovny"
210,Holidate,"John Whitesell (director); Tiffany Paulsen (screenplay); Emma Roberts, Luke Bracey, Kristin Chenoweth"
211,Come Play,"Jacob Chase (director/screenplay); Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley"
212,His House,"Remi Weekes (director/screenplay); Wunmi Mosaku. Sope Dirisu, Matt Smith"
213,Spell,"Mark Tonderai (director); Kurt Wimmer (screenplay); Omari Hardwick, Loretta Devine"
214,Jungleland,"Max Winkler (director/screenplay); Theodore B. Bressman, David Branson Smith (screenplay); Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors, John Cullum"
215,Let Him Go,"Thomas Bezucha (director/screenplay); Diane Lane, Kevin Costner, Lesley Manville, Will Brittain, Jeffrey Donovan"
216,The Informer,"Andrea Di Stefano (director/screenplay); Matt Cook, Rowan Joffe (screenplay); Joel Kinnaman, Rosamund Pike, Common, Ana de Armas, Clive Owen"
217,The Dark and the Wicked,"Bryan Bertino (director/screenplay); Marin Ireland, Michael Abbott Jr., Xander Berkeley"
218,Hillbilly Elegy,"Ron Howard (director); Vanessa Taylor (screenplay); Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos"
219,Mank,"David Fincher (director); Jack Fincher (screenplay); Gary Oldman, Amanda Seyfried, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann, Charles Dance"
220,Freaky,"Christopher Landon (director/screenplay); Michael Kennedy (screenplay); Vince Vaughn, Kathryn Newton, Katie Finneran, Celeste O'Connor, Misha Osherovich, Alan Ruck"
221,Jingle Jangle: A Christmas Journey,"David E. Talbert (director/screenplay); Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin"
222,Dreamland,"Miles Joris-Peyrafitte (director); Nicolaas Zwart (screenplay); Finn Cole, Margot Robbie, Travis Fimmel, Kerry Condon, Darby Camp, Garrett Hedlund, Lola Kirke"
223,Fatman,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste"
224,The Life Ahead,"Edoardo Ponti (director/screenplay); Ugo Chiti (screenplay); Sophia Loren, Ibrahima Gueye, Abril Zamora, Renato Carpentieri, Babak Karimi"
225,The Climb,"Michael Angelo Covino (director/screenplay); Kyle Marvin (screenplay); Kyle Marvin, Michael Angelo Covino, Gayle Rankin, Talia Balsam, George Wendt, Judith Godrèche"
226,Chick Fight,"Paul Leyden (director); Joseph Downey (screenplay); Malin Åkerman, Bella Thorne, Fortune Feimster, Alec Baldwin"
227,The Princess Switch: Switched Again,"Michael Rohl (director); Robin Bernheim, Megan Metzger (screenplay); Vanessa Hudgens, Sam Palladio, Nick Sagar"
228,Run,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn"
229,Sound of Metal,"Darius Marder (director/screenplay); Abraham Marder (screenplay); Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric"
230,The Last Vermeer,"Dan Friedkin (director); John Orloff, Mark Fergus and Hawk Ostby (screenplay); Guy Pearce, Claes Bang, Vicky Krieps"
231,Jiu Jitsu,"Dimitri Logothetis (director/screenplay); James McGrath (screenplay); Alain Moussi, Frank Grillo, JuJu Chan, Tony Jaa, Nicolas Cage"
232,Buddy Games,"Josh Duhamel (director/screenplay); Bob Schwartz, Jude Weng (screenplay); Josh Duhamel, Dax Shepard, Olivia Munn"
233,The Croods: A New Age,"Joel Crawford (director); Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan (screenplay); Nicolas Cage, Emma Stone, Ryan Reynolds, Peter Dinklage, Leslie Mann, Kelly Marie Tran, Catherine Keener, Clark Duke, Cloris Leachman"
234,Happiest Season,"Clea DuVall (director/screenplay); Mary Holland (screenplay); Kristen Stewart, Mackenzie Davis, Alison Brie, Aubrey Plaza, Dan Levy, Mary Holland, Victor Garber, Mary Steenburgen"
235,Ma Rainey's Black Bottom,"George C. Wolfe (director); Ruben Santiago-Hudson (screenplay); Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jeremy Shamos, Taylour Paige, Dusan Brown, Jonny Coyne"
236,The Christmas Chronicles 2,"Chris Columbus (director/screenplay); Matt Lieberman (screenplay); Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, Jazhir Bruno, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson, Andrew Morgado"
237,Uncle Frank,"Alan Ball (director/screenplay); Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root"
238,Folklore: The Long Pond Studio Sessions,"Taylor Swift (director/screenplay); Taylor Swift, Jack Antonoff, Aaron Dessner, Justin Vernon"
239,Superintelligence,"Ben Falcone (director); Steve Mallory (screenplay); Melissa McCarthy, Bobby Cannavale, Brian Tyree Henry, Jean Smart, James Corden"
240,Life in a Year,"Mitja Okorn (director); Jeffrey Addiss, Will Matthews (screenplay); Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long"
241,Black Beauty,"Ashley Avis (director/screenplay); Mackenzie Foy, Kate Winslet, Claire Forlani, Fern Deacon, Iain Glen"
242,The Prom,"Ryan Murphy (director); Chad Beguelin, Bob Martin (screenplay); Meryl Streep, James Corden, Jo Ellen Pellman, Nicole Kidman, Keegan-Michael Key, Andrew Rannells, Ariana DeBose, Kerry Washington"
243,All My Life,"Marc Meyers (director); Todd Rosenberg (screenplay); Jessica Rothe, Harry Shum Jr., Kyle Allen, Chrissie Fit, Jay Pharoah, Marielle Scott, Keala Settle"
244,Godmothered,"Sharon Maguire (director); Kari Granlund, Melissa Stack (screenplay); Isla Fisher, Jillian Bell, Santiago Cabrera"
245,Half Brothers,"Luke Greenfield (director); Eduardo Cisneros, Jason Shuman (screenplay); Luis Gerardo Méndez, Connor Del Rio"
246,Wander,"April Mullen (director); Tim Doiron (screenplay); Aaron Eckhart, Katheryn Winnick, Heather Graham, Roger Dorman, Tommy Lee Jones"
247,Black Bear,"Lawrence Michael Levine (director/screenplay); Aubrey Plaza, Christopher Abbott, Sarah Gadon"
248,Let Them All Talk,"Steven Soderbergh (director); Deborah Eisenberg (screenplay); Meryl Streep, Candice Bergen, Gemma Chan, Lucas Hedges, Dianne Wiest"
249,The Midnight Sky,"George Clooney (director); Mark L. Smith (screenplay); George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demián Bichir, Kyle Chandler, Caoilinn Springall"
250,Songbird,"Adam Mason (director/screenplay); Simon Boyes (screenplay); KJ Apa, Sofia Carson, Craig Robinson, Bradley Whitford, Peter Stormare, Alexandra Daddario, Paul Walter Hauser, Demi Moore"
251,Wild Mountain Thyme,"John Patrick Shanley (director/screenplay); Emily Blunt, Jamie Dornan, Jon Hamm, Dearbhla Molloy, Christopher Walken"
252,Safety,"Reginald Hudlin (director); Nick Santora (screenplay); Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale"
253,Wander Darkly,"Tara Miele (director/screenplay); Sienna Miller, Diego Luna, Beth Grant, Aimee Carrero, Tory Kittles, Vanessa Bayer"
254,I'm Your Woman,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck, Frankie Faison"
255,The Stand In,"Jamie Babbit (director); Sam Bain (screenplay); Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor"
256,Archenemy,"Adam Egypt Mortimer (director/screenplay); Joe Manganiello, Skylan Brooks, Zolee Griggs, Paul Scheer, Amy Seimetz, Glenn Howerton"
257,Farewell Amor,"Ekwa Msangi (director/screenplay); Ntare Mwine, Zainab Jah, Jayme Lawson, Joie Lee"
258,Monster Hunter,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman"
259,Greenland,"Ric Roman Waugh (director); Chris Sparling (screenplay); Gerard Butler, Morena Baccarin, David Denman, Hope Davis, Roger Dale Floyd, Andrew Bachelor, Merrin Dungey, Holt McCallany, Scott Glenn"
260,Fatale,"Deon Taylor (director); David Loughery (screenplay); Hilary Swank, Michael Ealy, Mike Colter, Geoffrey Owens, Denise Dowse"
261,Skylines,"Liam O'Donnell (director/screenplay); Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Alexander Siddig"
262,Hunter Hunter,"Shawn Linden (director/screenplay); Devon Sawa, Camille Sullivan, Nick Stahl, Summer H. Howell"
263,"Ariana Grande: Excuse Me, I Love You",Paul Dugdale (director); Ariana Grande
264,Sylvie's Love,"Eugene Ashe (director/screenplay); Tessa Thompson, Nnamdi Asomugha, Ryan Michelle Bathe, Aja Naomi King, Eva Longoria"
265,Wonder Woman 1984,"Patty Jenkins (director/screenplay); Geoff Johns, David Callaham (screenplay); Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen"
266,Soul,"Pete Docter (director/screenplay); Mike Jones, Kemp Powers (screenplay); Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett"
267,We Can Be Heroes,"Robert Rodriguez (director/screenplay); Priyanka Chopra Jonas, Pedro Pascal, YaYa Gosselin, Boyd Holbrook, Adriana Barraza, Haley Reinhart, Sung Kang, Taylor Dooley, Christian Slater"
268,News of the World,"Paul Greengrass (director/screenplay); Luke Davies (screenplay); Tom Hanks, Helena Zengel"
269,One Night in Miami...,"Regina King (director); Kemp Powers (screenplay); Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr., Lance Reddick, Joaquina Kalukango, Nicolette Robinson, Beau Bridges, Lance Reddick"
270,Promising Young Woman,"Emerald Fennell (director/screenplay); Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Laverne Cox, Connie Britton"
271,Pieces of a Woman,"Kornél Mundruczó (director); Kata Wéber (screenplay); Vanessa Kirby, Shia LaBeouf, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails, Ellen Burstyn"
