director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
Ken Kwapis,Biography Drama Romance,Ted Danson,Tim Blake Nelson,Andrew Daly,Big Miracle
Ulu Grosbard,Drama,Alexa PenaVega,Treat Williams,Jonathan Jackson,The Deep End of the Ocean
William Malone,Crime Horror Thriller,Natascha McElhone,Jeffrey Combs,Udo Kier,Feardotcom
Paul Weitz,Action Adventure Fantasy Thriller,Josh Hutcherson,Salma Hayek,Patrick Fugit,Cirque du Freak: The Vampire's Assistant
Paul McGuigan,Drama Horror Sci-Fi Thriller,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Victor Frankenstein
Danny DeVito,Comedy,Justin Theroux,Amber Valletta,Harvey Fierstein,Duplex
Malcolm D. Lee,Comedy Drama Music,Bernie Mac,Sean Hayes,Mike Epps,Soul Men
Jerry Jameson,Action Adventure Drama Thriller,M. Emmet Walsh,Jason Robards,Anne Archer,Raise the Titanic
Mic Rodgers,Action Sci-Fi,Michael Jai White,Daniel von Bargen,Xander Berkeley,Universal Soldier: The Return
Christian Alvart,Action Horror Mystery Sci-Fi Thriller,Norman Reedus,Dennis Quaid,Eddie Rouse,Pandorum
Gary Fleder,Drama Mystery Sci-Fi Thriller,Gary Dourdan,Mekhi Phifer,Tim Guinee,Impostor
Christian Duguay,Action Adventure Thriller,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves,Extreme Ops
Jean-Marie Poiré,Comedy Fantasy Sci-Fi,Bridgette Wilson-Sampras,Matt Ross,John Aylward,Just Visiting
Danny Boyle,Adventure Sci-Fi Thriller,Chris Evans,Benedict Wong,Troy Garity,Sunshine
Brian Robbins,Comedy Drama,John Gatins,Lou Saliba,Greg Collins,A Thousand Words
Marc F. Adler,Adventure Animation Comedy Fantasy Romance,Eric Idle,Anne Bancroft,Kelly Ripa,Delgo
Pierre Morel,Action Crime Drama Mystery Thriller,Ray Winstone,Mark Rylance,Jasmine Trinca,The Gunman
Geoffrey Sax,Action Adventure Family Thriller,Alex Pettyfer,Sophie Okonedo,Ashley Walters,Alex Rider: Operation Stormbreaker
D.J. Caruso,Drama Mystery Thriller,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Disturbia
Iain Softley,Comedy Crime Drama Thriller,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,Hackers
Richard Shepard,Adventure Comedy Drama Romance Thriller War,James Brolin,Zan Marolt,Ljubomir Kerekes,The Hunting Party
Joel Coen,Comedy Fantasy,Jennifer Jason Leigh,Bill Cobbs,John Mahoney,The Hudsucker Proxy
Peter Ho-Sun Chan,Action Drama History Romance War,Jet Li,Takeshi Kaneshiro,Andy Lau,The Warlords
Sergey Bodrov,Drama History War,Jay Hernandez,Kuno Becker,Jason Scott Lee,Nomad: The Warrior
Joon-ho Bong,Action Drama Sci-Fi Thriller,Chris Evans,Ewen Bremner,Kang-ho Song,Snowpiercer
Bibo Bergeron,Adventure Animation Comedy Fantasy Music Romance,Adam Goldberg,Bob Balaban,François Cluzet,A Monster in Paris
Jeff Nathanson,Comedy,Matthew Broderick,Glenn Morshower,Tim Blake Nelson,The Last Shot
Alex Proyas,Action Drama Fantasy,Michael Wincott,Bai Ling,David Patrick Kelly,The Crow
S.S. Rajamouli,Action Adventure Drama Fantasy War,Tamannaah Bhatia,Anushka Shetty,Prabhas,Baahubali: The Beginning
Robert Schwentke,Drama Fantasy Romance Sci-Fi,Arliss Howard,Brooklynn Proulx,Michelle Nolden,The Time Traveler's Wife
Michael Lehmann,Comedy Romance,Colin Ferguson,Stephen Collins,Tom Everett Scott,Because I Said So
Rob Cohen,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,The Fast and the Furious
Tim Burton,Animation Comedy Family Horror Sci-Fi,Martin Landau,Catherine O'Hara,Atticus Shaffer,Frankenweenie
Joss Whedon,Action Adventure Sci-Fi Thriller,Adam Baldwin,Sean Maher,Michael Hitchcock,Serenity
Charles S. Dutton,Biography Drama Romance Sport,Omar Epps,Charles S. Dutton,Tim Daly,Against the Ropes
Richard Lester,Action Comedy Sci-Fi,Margot Kidder,Robert Vaughn,Jackie Cooper,Superman III
Peter Segal,Comedy Sport,Robert De Niro,Sylvester Stallone,Oscar Gale,Grudge Match
John Woo,Action Adventure Drama History War,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,Red Cliff
Andy Tennant,Comedy Romance,Ethan Embry,Mary Lynn Rajskub,Courtney Gains,Sweet Home Alabama
Robert Luketic,Comedy Romance,Gerard Butler,John Michael Higgins,Eric Winter,The Ugly Truth
Jonathan Lynn,Comedy,Austin Pendleton,Phil Hartman,Max Casella,Sgt. Bilko
Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,Steve Buscemi,Alexa PenaVega,Emily Osment,Spy Kids 2: Island of Lost Dreams
David Carson,Action Adventure Mystery Sci-Fi Thriller,LeVar Burton,Alan Ruck,Jonathan Frakes,Star Trek: Generations
Kar-Wai Wong,Action Biography Drama,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui,The Grandmaster
Francis Lawrence,Drama Romance,Robert Pattinson,Christoph Waltz,James Frain,Water for Elephants
Not Available,Comedy Family Sci-Fi,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston,3rd Rock from the Sun
Yuefeng Song,Adventure Animation Family Fantasy,Blythe Auffarth,Bianca Collins,Jiao Xu,Dragon Nest: Warriors' Dawn
Norman Jewison,Biography Drama Sport,Denzel Washington,Vincent Pastore,Deborah Kara Unger,The Hurricane
Michael Apted,Crime Drama Thriller,Bill Cobbs,Jeff Kober,Billy Campbell,Enough
David Mirkin,Comedy Crime Romance,Sarah Silverman,Anne Bancroft,Jeffrey Jones,Heartbreakers
Andy Fickman,Action Comedy Crime,D.B. Woodside,Daniella Alonso,Eduardo Verástegui,Paul Blart: Mall Cop 2
Luis Mandoki,Drama Romance,Sonia Braga,Shirley Knight,Kari Matchett,Angel Eyes
John Pasquin,Comedy Drama,Jim Belushi,Ken Marino,Kelly Lynch,Joe Somebody
Roman Polanski,Mystery Thriller,Johnny Depp,Frank Langella,Lena Olin,The Ninth Gate
Michael Apted,Crime Drama Mystery Thriller,J.K. Simmons,Paul Guilfoyle,Bill Nunn,Extreme Measures
Stephen Herek,Drama Music,Beth Grant,Dagmara Dominczyk,Matthew Glave,Rock Star
Lee Daniels,Drama,Mo'Nique,Gabourey Sidibe,Mariah Carey,Precious
Ridley Scott,Adventure Drama,Jeff Bridges,Jason Marsden,Ethan Embry,White Squall
John Carpenter,Horror Mystery Sci-Fi,Wilford Brimley,Richard Masur,David Clennon,The Thing
David Twohy,Action Sci-Fi Thriller,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine,Riddick
Jeb Stuart,Crime Mystery Thriller,Gregory Scott Cummins,Claudia Stedelin,Ted Markland,Switchback
Steve Miner,Action Adventure Drama Thriller Western,Tom Skerritt,Usher Raymond,Leonor Varela,Texas Rangers
Gil Kenan,Adventure Family Fantasy Sci-Fi,Bill Murray,Toby Jones,Harry Treadaway,City of Ember
Paul Thomas Anderson,Drama,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,The Master
David Leland,Adventure Comedy History Romance,Hayden Christensen,Ryan Cartwright,David Walliams,Virgin Territory
Gary Fleder,Biography Drama Sport,Dennis Quaid,Nicole Beharie,Charles S. Dutton,The Express
J Blakeson,Action Adventure Sci-Fi Thriller,Chloë Grace Moretz,Maggie Siff,Nick Robinson,The 5th Wave
Ryan Coogler,Drama Sport,Sylvester Stallone,Phylicia Rashad,Graham McTavish,Creed
Ben Affleck,Crime Drama Thriller,Jeremy Renner,Jon Hamm,Owen Burke,The Town
Kirk Jones,Comedy Drama Romance,Anna Kendrick,Dennis Quaid,Thomas Lennon,What to Expect When You're Expecting
Ethan Coen,Comedy Drama,J.K. Simmons,Brad Pitt,Kevin Sussman,Burn After Reading
Jennifer Flackett,Adventure Comedy Family Fantasy,Gerard Butler,Anthony Simcoe,Christopher James Baker,Nim's Island
Ron Howard,Action Biography Drama Sport,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Rush
Paul Thomas Anderson,Drama,Patton Oswalt,Neil Flynn,Jim Meskimen,Magnolia
Kevin Smith,Action Comedy Crime,Bruce Willis,Tracy Morgan,Kevin Pollak,Cop Out
Christian Ditter,Comedy Romance,Alison Brie,Damon Wayans Jr.,Nicholas Braun,How to Be Single
Charles Martin Smith,Drama Family,Morgan Freeman,Michael Roark,Harry Connick Jr.,Dolphin Tale
Catherine Hardwicke,Drama Fantasy Romance,Kristen Stewart,Taylor Lautner,Anna Kendrick,Twilight
Nick Cassavetes,Crime Drama Thriller,Denzel Washington,Laura Harring,Anne Heche,John Q
Les Mayfield,Action Comedy Crime Thriller,Peter Greene,Dave Chappelle,Tamala Jones,Blue Streak
Rawson Marshall Thurber,Comedy Crime,Laura-Leigh,Molly C. Quinn,Thomas Lennon,We're the Millers
Fedor Bondarchuk,Action Adventure Sci-Fi,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov,Obitaemyy ostrov
Jonathan Mostow,Action Crime Drama Mystery Thriller,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,Breakdown
Irvin Kershner,Action Adventure Thriller,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera,Never Say Never Again
Steve Pink,Comedy Sci-Fi,Charlie McDermott,Collette Wolfe,Crystal Lowe,Hot Tub Time Machine
Charles Martin Smith,Drama Family,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,Dolphin Tale 2
John Frankenheimer,Action Adventure Crime Drama Family Fantasy Romance Thriller,Charlize Theron,James Frain,Clarence Williams III,Reindeer Games
F. Gary Gray,Action Crime Drama Thriller,Vin Diesel,Jeff Kober,Larenz Tate,A Man Apart
Cameron Crowe,Comedy Drama Romance,Emma Stone,Bradley Cooper,Bill Murray,Aloha
Rob Reiner,Drama History,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,Ghosts of Mississippi
Scott Hicks,Drama Mystery Romance Thriller,Rick Yune,Reeve Carney,Daniel von Bargen,Snow Falling on Cedars
Mikael Håfström,Drama Horror Mystery Thriller,Anthony Hopkins,Colin O'Donoghue,Toby Jones,The Rite
Andrew Niccol,Drama Sci-Fi Thriller,Blair Underwood,Xander Berkeley,Mason Gamble,Gattaca
Andrew Bergman,Biography Comedy Romance,Stockard Channing,Nathan Lane,John Larroquette,Isn't She Great
Kirk De Micco,Adventure Animation Comedy Family Sci-Fi,Cheryl Hines,Kenan Thompson,Omid Abtahi,Space Chimps
Chris Rock,Comedy,Bernie Mac,Dylan Baker,Tracy Morgan,Head of State
Todd Phillips,Comedy,Bradley Cooper,Rob Riggle,Mike Epps,The Hangover
Wilson Yip,Action Biography Drama History,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Ip Man 3
Jay Roach,Action Adventure Comedy Crime,Muse Watson,Verne Troyer,Robert Wagner,Austin Powers: The Spy Who Shagged Me
Tim Burton,Action Adventure,Michael Gough,Jack Palance,William Hootkins,Batman
Roland Joffé,Biography Drama War,Jordi Mollà,Dougray Scott,Lily Cole,There Be Dragons
Richard Donner,Action Crime Thriller,Rene Russo,Nick Chinlund,Stuart Wilson,Lethal Weapon 3
John Lee Hancock,Biography Drama Sport,Catherine Dyer,Quinton Aaron,Kim Dickens,The Blind Side
Not Available,Action Comedy Crime,Jon Foo,Aimee Garcia,Wendie Malick,Rush Hour
Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,Alexa PenaVega,Cheech Marin,Daryl Sabara,Spy Kids
Seth Gordon,Comedy Crime,Kevin Spacey,Lindsay Sloane,Reginald Ballard,Horrible Bosses
Ethan Coen,Adventure Drama Western,Matt Damon,Jeff Bridges,Bruce Green,True Grit
David Frankel,Comedy Drama Romance,Meryl Streep,Anne Hathaway,Rebecca Mader,The Devil Wears Prada
Robert Wise,Adventure Mystery Sci-Fi,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Star Trek: The Motion Picture
Seth Gordon,Comedy Crime,Jon Favreau,Eric Stonestreet,T.I.,Identity Thief
Martin Scorsese,Crime Thriller,Robert De Niro,Robert Mitchum,Joe Don Baker,Cape Fear
Robert Luketic,Crime Drama Thriller,Kevin Spacey,Jim Sturgess,Josh Gad,21
Judd Apatow,Comedy Romance,Amy Schumer,Randall Park,Josh Segarra,Trainwreck
Kevin Rodney Sullivan,Comedy Romance,Bernie Mac,Nicole Sullivan,Sherri Shepherd,Guess Who
Anthony Minghella,Drama Romance War,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,The English Patient
Curtis Hanson,Crime Drama Mystery Thriller,Kevin Spacey,Matt McCoy,Paul Guilfoyle,L.A. Confidential
Mike Mitchell,Adventure Comedy Family Sci-Fi,Michael Angarano,Kelly Preston,Nicholas Braun,Sky High
Frank Oz,Comedy,Tom Selleck,Wilford Brimley,Lauren Ambrose,In & Out
Roger Donaldson,Action Horror Sci-Fi Thriller,Natasha Henstridge,Marg Helgenberger,Jordan Lund,Species
Wes Craven,Horror,Johnny Depp,Lin Shaye,Amanda Wyss,A Nightmare on Elm Street
Tarsem Singh,Horror Sci-Fi Thriller,Dylan Baker,Jake Weber,James Gammon,The Cell
Randall Wallace,Action Adventure,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,The Man in the Iron Mask
Randall Wallace,Biography Drama Family History Sport,Scott Glenn,Kevin Connolly,Dylan Walsh,Secretariat
Kevin Munroe,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Chris Evans,Sarah Michelle Gellar,Mako,TMNT
Michael Tollin,Biography Drama Sport,Alfre Woodard,Riley Smith,Debra Winger,Radio
Will Gluck,Comedy Romance,Mila Kunis,Justin Timberlake,Masi Oka,Friends with Benefits
Nicholas Stoller,Comedy,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,Neighbors 2: Sorority Rising
John Lee Hancock,Biography Comedy Drama History Music,Tom Hanks,Ruth Wilson,B.J. Novak,Saving Mr. Banks
Spike Lee,Biography Drama History Romance,Denzel Washington,Delroy Lindo,Al Freeman Jr.,Malcolm X
Judd Apatow,Comedy,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,This Is 40
Walt Becker,Comedy Family,Robin Williams,Bernie Mac,Ann-Margret,Old Dogs
Patrick Tatopoulos,Action Adventure Fantasy Sci-Fi Thriller,Craig Parker,Kevin Grevioux,Steven Mackintosh,Underworld: Rise of the Lycans
Ken Kwapis,Comedy Romance,Robin Williams,Christine Taylor,Mindy Kaling,License to Wed
Dennis Dugan,Comedy Romance Sport,Jon Lovitz,Jon Heder,Tim Meadows,The Benchwarmers
Gary David Goldberg,Comedy Romance,Stockard Channing,Victor Webster,Elizabeth Perkins,Must Love Dogs
Mike Newell,Biography Crime Drama,Johnny Depp,Al Pacino,Anne Heche,Donnie Brasco
Paul W.S. Anderson,Action Horror Sci-Fi,Milla Jovovich,Jaymes Butler,Colin Salmon,Resident Evil
Tobe Hooper,Fantasy Horror,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,Poltergeist
Ethan Coen,Comedy Crime Thriller,J.K. Simmons,Tom Hanks,Stephen Root,The Ladykillers
John Moore,Action Crime Drama Mystery Thriller,Mila Kunis,Beau Bridges,Jamie Hector,Max Payne
Andrew Niccol,Action Sci-Fi Thriller,Matt Bomer,Olivia Wilde,Justin Timberlake,In Time
Alan Poul,Comedy Romance,Danneel Ackles,Noureen DeWulf,Tom Bosley,The Back-up Plan
Luke Greenfield,Comedy Drama Romance,Ashley Williams,Steve Howey,Kirsten Day,Something Borrowed
Not Available,Drama Romance,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,Hit the Floor
Gil Junger,Adventure Comedy Fantasy,Tom Wilkinson,Marsha Thomason,Vincent Regan,Black Knight
Michael Ritchie,Comedy Drama Family Sport,Tatum O'Neal,Vic Morrow,Joyce Van Patten,The Bad News Bears
Steven E. de Souza,Action Adventure Comedy Thriller,Ming-Na Wen,Raul Julia,Kylie Minogue,Street Fighter
Roman Polanski,Biography Drama War,Emilia Fox,Frank Finlay,Ed Stoppard,The Pianist
Albert Hughes,Horror Mystery Thriller,Johnny Depp,Jason Flemyng,Ian Richardson,From Hell
Catherine Hardwicke,Drama Family Fantasy,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,The Nativity Story
Jaume Collet-Serra,Horror,Robert Ri'chard,Paris Hilton,Brian Van Holt,House of Wax
Mike Nichols,Drama Romance,Natalie Portman,Julia Roberts,Colin Stinton,Closer
Clint Eastwood,Biography Crime Drama,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,J. Edgar
Alexandre Aja,Horror Mystery,Jason Flemyng,Cameron Boyce,Julian Glover,Mirrors
Michael Rymer,Drama Fantasy Horror,Aaliyah,Lena Olin,Bruce Spence,Queen of the Damned
Stephen Hopkins,Action Horror Sci-Fi,Adam Baldwin,Robert Davi,Kevin Peter Hall,Predator 2
Gregory Hoblit,Crime Drama Thriller,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,Untraceable
Hugh Wilson,Comedy Drama Romance Sci-Fi,Brendan Fraser,Sissy Spacek,Douglas Smith,Blast from the Past
Mike Hodges,Action Adventure Sci-Fi,Brian Blessed,William Hootkins,Sam J. Jones,Flash Gordon
Kevin Smith,Comedy Drama Romance,Stephen Root,Mike Starr,George Carlin,Jersey Girl
Rob Cohen,Action Crime Mystery Thriller,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Alex Cross
Clint Eastwood,Crime Drama Mystery Thriller,Kevin Spacey,Bob Gunton,Leon Rippy,Midnight in the Garden of Good and Evil
Scott Mann,Action Crime Thriller,Robert De Niro,Joshua Mikel,D.B. Sweeney,Heist
Susanna White,Comedy Family Fantasy,Daniel Mays,Bill Bailey,Eros Vlahos,Nanny McPhee Returns
Danny DeVito,Biography Crime Drama,Frank Whaley,J.T. Walsh,Paul Guilfoyle,Hoffa
Chris Carter,Drama Mystery Sci-Fi Thriller,Mitch Pileggi,Callum Rennie,Nicki Aycox,The X Files: I Want to Believe
Tommy O'Haver,Comedy Family Fantasy Romance,Anne Hathaway,Steve Coogan,Joanna Lumley,Ella Enchanted
Peter Landesman,Biography Drama Sport,Will Smith,Eddie Marsan,Albert Brooks,Concussion
John Singleton,Action Mystery Thriller,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,Abduction
Gary Chapman,Adventure Animation Comedy Family War,Jim Broadbent,Olivia Williams,Pip Torrens,Valiant
Curtis Hanson,Comedy Drama,Robert Downey Jr.,Rip Torn,Richard Thomas,Wonder Boys
Craig Mazin,Action Comedy Sci-Fi Thriller,Drake Bell,Tracy Morgan,Marion Ross,Superhero Movie
Allen Hughes,Crime Drama Thriller,Alona Tal,James Ransone,Michael Beach,Broken City
Wes Craven,Comedy Horror,Shannon Elizabeth,Portia de Rossi,Derek Mears,Cursed
David Koepp,Action Crime Thriller,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,Premium Rush
Anne Fletcher,Action Comedy Crime,Jim Gaffigan,Richard T. Jones,Michael Mosley,Hot Pursuit
Shekhar Kapur,Adventure Drama Romance War,Djimon Hounsou,Lucy Gordon,Alex Jennings,The Four Feathers
Taylor Hackford,Action Crime Romance Thriller,Jason Statham,Clifton Collins Jr.,Wendell Pierce,Parker
Richard Loncraine,Comedy Romance Sport,Kirsten Dunst,Jon Favreau,Austin Nichols,Wimbledon
Roger Kumble,Comedy Family,Brendan Fraser,Brooke Shields,Matt Prokop,Furry Vengeance
Kimble Rendall,Action Horror Sci-Fi,Alex Russell,Cariba Heine,Richard Brancatisano,Bait
Peter Yates,Action Adventure Fantasy,Liam Neeson,Alun Armstrong,Lysette Anthony,Krull
Robert Redford,Drama Thriller War,Meryl Streep,Tom Cruise,Andrew Garfield,Lions for Lambs
John Milius,Action Drama Thriller War,Rosanna Arquette,Dann Florek,Christopher Rich,Flight of the Intruder
Jake Kasdan,Comedy Music,Tim Meadows,Nat Faxon,Matt Price,Walk Hard: The Dewey Cox Story
Lasse Hallström,Drama,Kevin Spacey,Scott Glenn,Jason Behr,The Shipping News
Les Mayfield,Action Western,Gregory Smith,Ronny Cox,Harris Yulin,American Outlaws
Jean-Marc Vallée,Biography Drama History Romance,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,The Young Victoria
Dominic Sena,Action Crime Mystery Thriller,Tom Skerritt,Bashar Rahal,Shawn Doyle,Whiteout
Terrence Malick,Drama Fantasy,Brad Pitt,Tye Sheridan,Fiona Shaw,The Tree of Life
Hark Tsui,Action Comedy Thriller,Paul Sorvino,Lela Rochon,Ray Nicholas,Knock Off
David Ayer,Action Crime Drama Thriller,Mireille Enos,Martin Donovan,Maurice Compte,Sabotage
Brian Helgeland,Action Mystery Thriller,Heath Ledger,Mark Addy,Benno Fürmann,The Order
Lexi Alexander,Action Crime Drama Thriller,Julie Benz,Wayne Knight,Colin Salmon,Punisher: War Zone
Peter Hewitt,Action Adventure Family Sci-Fi,Kevin Zegers,Rip Torn,Thomas F. Wilson,Zoom
Robert Zemeckis,Adventure Biography Drama Thriller,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,The Walk
Ronny Yu,Action Adventure Fantasy,Marley Shelton,Lee Arenberg,Angus Macfadyen,Warriors of Virtue
Ridley Scott,Comedy Drama Romance,Archie Panjabi,Albert Finney,Richard Coyle,A Good Year
Not Available,Crime Drama Mystery Thriller,Ruth Wilson,Indira Varma,Warren Brown,Luther
Richard Donner,Drama,Adam Baldwin,Thomas Ian Nicholas,John Heard,Radio Flyer
Taylor Hackford,Crime Drama,Delroy Lindo,Jesse Borrego,Raymond Cruz,"Blood In, Blood Out"
Bille August,Action Drama Sci-Fi Thriller,Jim Broadbent,Tom Wilkinson,Julia Ormond,Smilla's Sense of Snow
Brian De Palma,Crime Drama Mystery Thriller,Peter Coyote,Gregg Henry,Rie Rasmussen,Femme Fatale
Moustapha Akkad,Biography Drama History War,Oliver Reed,Rod Steiger,John Gielgud,Lion of the Desert
Jean-Paul Rappeneau,Adventure Drama Romance War,Olivier Martinez,François Cluzet,Isabelle Carré,The Horseman on the Roof
Ang Lee,Drama Romance War Western,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,Ride with the Devil
Alejandro G. Iñárritu,Drama,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,Biutiful
Roland Joffé,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,The Lovers
Joachim Rønning,Action Comedy Crime Western,Salma Hayek,Sam Shepard,Dwight Yoakam,Bandidas
Tony Kaye,Crime Drama,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,Black Water Transit
Wes Ball,Action Mystery Sci-Fi Thriller,Ki Hong Lee,Aml Ameen,Jacob Latimore,The Maze Runner
Ken Scott,Comedy,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,Unfinished Business
Martin Scorsese,Drama Romance,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,The Age of Innocence
Darren Aronofsky,Drama Sci-Fi,Hugh Jackman,Ellen Burstyn,Mark Margolis,The Fountain
Hugh Johnson,Action Adventure Comedy Drama Thriller,David Paymer,Kevin J. O'Connor,Hudson Leick,Chill Factor
Simon West,Action Crime Drama Thriller,Nicolas Cage,Mark Valley,Sami Gayle,Stolen
Hayao Miyazaki,Adventure Animation Family Fantasy,Rumi Hiiragi,Yûki Amami,Yuria Nara,Ponyo
George Tillman Jr.,Drama Romance,Tiago Riani,Melissa Benoist,Hayley Lovitt,The Longest Ride
Rand Ravich,Drama Sci-Fi Thriller,Johnny Depp,Charlize Theron,Clea DuVall,The Astronaut's Wife
Hugh Hudson,Adventure Drama Romance,Liam Aiken,Eva Marie Saint,Vincent Perez,I Dreamed of Africa
Gabriele Muccino,Comedy Romance Sport,Gerard Butler,Dennis Quaid,Judy Greer,Playing for Keeps
Justin Chadwick,Biography Drama History,Terry Pheto,Fana Mokoena,Tony Kgoroge,Mandela: Long Walk to Freedom
Warren Beatty,Biography Drama History Romance,Paul Sorvino,Warren Beatty,M. Emmet Walsh,Reds
Rob Reiner,Drama Thriller,Tom Cruise,Demi Moore,Kevin Pollak,A Few Good Men
Andrzej Bartkowiak,Action Comedy Crime Drama Thriller,Michael Jai White,Bill Duke,Bruce McGill,Exit Wounds
Raja Gosnell,Action Comedy Crime,Nia Long,Cedric the Entertainer,Tichina Arnold,Big Momma's House
Jeremy Degruson,Adventure Animation Comedy Family Fantasy,Kyle Hebert,Brianne Brozey,Joe Ochman,Thunder and the House of Magic
Chris Gorak,Action Adventure Horror Sci-Fi Thriller,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,The Darkest Hour
Scott Speer,Drama Music Romance,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,Step Up Revolution
David R. Ellis,Action Adventure Crime Drama Thriller,Lin Shaye,Kenan Thompson,Rachel Blanchard,Snakes on a Plane
Joe Charbanic,Crime Horror Mystery Thriller,Keanu Reeves,Joseph Sikora,Chris Ellis,The Watcher
Jonathan Hensleigh,Action Crime Drama Thriller,Laura Harring,Marco St. John,Eddie Jemison,The Punisher
Danny Cannon,Drama Romance Sport,Sean Pertwee,Kuno Becker,Stephen Dillane,Goal! The Dream Begins
Boaz Yakin,Action Crime Thriller,Jason Statham,Reggie Lee,Robert John Burke,Safe
Mike Newell,Comedy Drama Romance,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,Pushing Tin
Richard Marquand,Action Adventure Fantasy Sci-Fi,Harrison Ford,Ian McDiarmid,Kenny Baker,Star Wars: Episode VI - Return of the Jedi
Neil Marshall,Action Sci-Fi Thriller,Ryan Kruger,Jason Cope,Jeremy Crutchley,Doomsday
Stephen Daldry,Drama Romance,Kate Winslet,David Kross,Susanne Lothar,The Reader
David Wain,Comedy,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,Wanderlust
Jon Favreau,Comedy Family Fantasy Romance,Peter Dinklage,Zooey Deschanel,Will Ferrell,Elf
Jon Turteltaub,Drama Fantasy Romance Sci-Fi,Robert Duvall,Kyra Sedgwick,David Gallagher,Phenomenon
Brian Levant,Adventure Comedy Family Sport,James Coburn,Nichelle Nichols,M. Emmet Walsh,Snow Dogs
Richard Donner,Comedy Drama Fantasy,Bill Murray,Alfre Woodard,Robert Mitchum,Scrooged
Jared Hess,Comedy Family Sport,Ana de la Reguera,Moises Arias,Héctor Jiménez,Nacho Libre
Paul Feig,Comedy Romance,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,Bridesmaids
Evan Goldberg,Comedy Fantasy,Channing Tatum,James Franco,Emma Watson,This Is the End
Rupert Wainwright,Horror,Nia Long,Enrico Colantoni,Portia de Rossi,Stigmata
George Tillman Jr.,Biography Drama,Robert De Niro,Charlize Theron,Michael Rapaport,Men of Honor
John Luessenhop,Action Crime Thriller,Paul Walker,Hayden Christensen,Jay Hernandez,Takers
Justin Zackham,Comedy,Robin Williams,Robert De Niro,Topher Grace,The Big Wedding
John Whitesell,Action Comedy Crime,Brandon T. Jackson,Tony Curran,Portia Doubleday,"Big Mommas: Like Father, Like Son"
Duncan Jones,Mystery Sci-Fi Thriller,Jake Gyllenhaal,Cas Anvar,Russell Peters,Source Code
Frank Marshall,Adventure Biography Drama Thriller,Illeana Douglas,Danny Nucci,Michael DeLorenzo,Alive
Joel Schumacher,Mystery Thriller,Logan Lerman,Virginia Madsen,Ed Lauter,The Number 23
Jean-Pierre Jeunet,Action Adventure Drama Family,Callum Rennie,Julian Richings,Judy Davis,The Young and Prodigious T.S. Spivet
Steven Spielberg,Action Comedy War,Christopher Lee,John Belushi,Treat Williams,1941
John Gatins,Drama Family Sport,Ken Howard,Freddy Rodríguez,Holmes Osborne,Dreamer: Inspired by a True Story
