title,cast_and_crew,genre
white boy rick,"Yann Demange (director); Logan Miller, Steve Kloves, Noah Miller, Andy Weiss (screenplay); Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie","Crime, Drama"
a simple favor,"Paul Feig (director/screenplay); Jessica Sharzer (screenplay); Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells","Comedy, Crime, Mystery"
lizzie,"Craig William Macneill (director); Bryce Kass (screenplay); Chloë Sevigny, Kristen Stewart, Jay Huguley, Fiona Shaw, Jamey Sheridan, Kim Dickens, Denis O'Hare, Jeff Perry","Biography, Crime, Drama"
unbroken: path to redemption,"Harold Cronk (director); Richard Friedenberg, Ken Hixon (screenplay); Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway, Bobby Campo, David DeLuise, David Sakurai, Will Graham","Biography, Drama, History"
hell house llc ii: the abaddon hotel,"Stephen Cognetti (director/screenplay); Vasile Flutur, Jillian Geurts, Joy Shatz, Dustin Austen, Brian David Tracey","Horror, Mystery"
the house with a clock in its walls,"Eli Roth (director); Eric Kripke (screenplay); Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan, Renée Elise Goldsberry, Sunny Suljic, Vanessa Anne Williams, Colleen Camp","Comedy, Family, Fantasy"
life itself,"Dan Fogelman (director/screenplay); Oscar Isaac, Olivia Wilde, Mandy Patinkin, Olivia Cooke, Laia Costa, Annette Bening, Antonio Banderas","Drama, Romance"
assassination nation,"Sam Levinson (director/screenplay); Odessa Young, Suki Waterhouse, Hari Nef, Abra, Bella Thorne, Bill Skarsgård, Cody Christian, Joel McHale, Maude Apatow, Colman Domingo, Anika Noni Rose","Action, Comedy, Crime"
colette,"Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley, Dominic West","Biography, Drama, History"
smallfoot,"Karey Kirkpatrick (director/screenplay); Clare Sera (screenplay); Channing Tatum, James Corden, Zendaya, Common, LeBron James, Gina Rodriguez, Danny DeVito, Yara Shahidi, Ely Henry, Jimmy Tatro","Animation, Adventure, Comedy"
night school,"Malcolm D. Lee (director); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Comedy
the old man & the gun,"David Lowery (director/screenplay); Robert Redford, Casey Affleck, Danny Glover, Tika Sumpter, Tom Waits, Sissy Spacek","Biography, Comedy, Crime"
hell fest,"Gregory Plotkin (director); William Penick, Chris Sey (screenplay); Bex Taylor-Klaus, Amy Forsyth, Reign Edwards, Christian James, Matt Mercurio, Roby Attal","Horror, Thriller"
power of the air,"Dave Christiano (director/screenplay); Nicholas X. Parsons, Patty Duke, Michael Gross, Tracy Goode, Karyn Williams, Wendell Kinney, Veryl Jones",Drama
venom,"Ruben Fleischer (director); Jeff Pinkner, Scott Rosenberg, Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott, Jenny Slate","Action, Adventure, Sci-Fi"
a star is born,"Bradley Cooper (director/screenplay); Eric Roth, Will Fetters (screenplay); Bradley Cooper, Lady Gaga, Sam Elliott, Dave Chappelle, Andrew Dice Clay, Anthony Ramos, Rafi Gavron, Greg Grunberg","Drama, Music, Romance"
the hate u give,"George Tillman Jr. (director); Audrey Wells (screenplay); Amandla Stenberg, Regina Hall, Russell Hornsby, KJ Apa, Algee Smith, Lamar Johnson, Issa Rae, Sabrina Carpenter, Common, Anthony Mackie","Crime, Drama"
the happy prince,"Rupert Everett (director/screenplay); Rupert Everett, Colin Firth, Colin Morgan, Emily Watson","Biography, Drama"
first man,"Damien Chazelle (director); Josh Singer (screenplay); Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Ciaran Hinds, Christopher Abbott, Patrick Fugit, Lukas Haas","Biography, Drama, History"
bad times at the el royale,"Drew Goddard (director/screenplay); Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm, Cailee Spaeny, Lewis Pullman, Nick Offerman, Chris Hemsworth","Crime, Drama, Mystery"
goosebumps 2: haunted halloween,"Ari Sandel (director); Rob Lieber (screenplay); Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong, Jack Black","Animation, Adventure, Comedy"
beautiful boy,"Felix van Groeningen (director/screenplay); Luke Davies (screenplay); Steve Carell, Timothée Chalamet, Maura Tierney, Amy Ryan","Biography, Drama"
the oath,"Ike Barinholtz (director/screenplay); Ike Barinholtz, Tiffany Haddish, Nora Dunn, Chris Ellis, Jon Barinholtz, Meredith Hagner, Carrie Brownstein, Billy Magnussen, John Cho","Comedy, Thriller"
gosnell: the trial of america's biggest serial killer,"Nick Searcy (director); Earl Billings, Dean Cain, Sarah Jane Morris, Michael Beach","Crime, Drama"
after everything,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei","Comedy, Drama, Romance"
halloween,"David Gordon Green (director/screenplay); Jeff Fradley, Danny McBride (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Virginia Gardner","Crime, Horror, Thriller"
can you ever forgive me?,"Marielle Heller (director); Nicole Holofcener, Jeff Whitty (screenplay); Melissa McCarthy, Richard E. Grant","Biography, Comedy, Crime"
mid90s,"Jonah Hill (director/screenplay); Sunny Suljic, Lucas Hedges, Katherine Waterston","Comedy, Drama"
wildlife,"Paul Dano (director/screenplay); Zoe Kazan (screenplay); Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould, Bill Camp",Drama
what they had,"Elizabeth Chomko (director/screenplay); Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner, Taissa Farmiga, Josh Lucas",Drama
hunter killer,"Donovan Marsh (director); Arne Schmidt, Jamie Moss (screenplay); Gerard Butler, Gary Oldman, Common, Toby Stephens, Linda Cardellini, David Gyasi, Gabriel Chavarria, Zane Holtz, Michael Nyqvist","Action, Thriller"
johnny english strikes again,"David Kerr (director); William Davies (screenplay); Rowan Atkinson, Olga Kurylenko, Ben Miller","Action, Adventure, Comedy"
suspiria,"Luca Guadagnino (director); David Kajganich (screenplay); Dakota Johnson, Tilda Swinton, Mia Goth, Angela Winkler, Ingrid Caven, Sylvie Testud, Jessica Harper, Chloë Grace Moretz","Drama, Fantasy, Horror"
indivisible,"David G. Evans (director/screenplay); Cheryl McKay (screenplay); Sarah Drew, Justin Bruening, Jason George, Madeline Carroll, Tanner Stine, Michael O'Neill, Tia Mowry, Eric Close","Drama, War"
bullitt county,"David McCracken (director/screenplay); Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Richard Riehle, Dorothy Lyman","Action, Drama, Thriller"
bohemian rhapsody,"Bryan Singer (director); Anthony McCarten (screenplay); Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers","Biography, Drama, Music"
the nutcracker and the four realms,"Lasse Hallström, Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley, Mackenzie Foy, Eugenio Derbez, Matthew Macfadyen, Richard E. Grant, Misty Copeland, Helen Mirren, Morgan Freeman","Adventure, Family, Fantasy"
nobody's fool,"Tyler Perry (director/screenplay); Tiffany Haddish, Tika Sumpter, Omari Hardwick, Mehcad Brooks, Amber Riley, Whoopi Goldberg","Comedy, Drama, Romance"
boy erased,"Joel Edgerton (director/screenplay); Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Joe Alwyn, Xavier Dolan, Troye Sivan, Cherry Jones, Flea","Biography, Drama"
a private war,"Matthew Heineman (director); Arash Amel (screenplay); Rosamund Pike, Jamie Dornan, Stanley Tucci, Tom Hollander","Biography, Drama, War"
the front runner,"Jason Reitman (director); Matt Bai, Jason Reitman, Jay Carson (screenplay); Hugh Jackman, Vera Farmiga, J. K. Simmons, Alfred Molina","Biography, Drama, History"
the grinch,"Yarrow Cheney, Scott Mosier (directors); Matthew O'Callaghan (co-director); Michael LeSieur, Tommy Swerdlow (screenplay); Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Cameron Seely, Angela Lansbury, Pharrell Williams","Animation, Adventure, Comedy"
the girl in the spider's web,"Fede Álvarez (director/screenplay); Steven Knight, Jay Basu (screenplay); Claire Foy, Sverrir Gudnason, Lakeith Stanfield, Sylvia Hoeks, Stephen Merchant","Action, Crime, Drama"
overlord,"Julius Avery (director); Billy Ray, Mark L. Smith (screenplay); Jovan Adepo, Wyatt Russell, Mathilde Ollivier, John Magaro, Gianny Taufer, Pilou Asbæk, Bokeem Woodbine","Action, Horror, Sci-Fi"
the ballad of buster scruggs,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits","Comedy, Drama, Musical"
fantastic beasts: the crimes of grindelwald,"David Yates (director); J. K. Rowling (screenplay); Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Zoë Kravitz, Callum Turner, Claudia Kim, William Nadylam, Kevin Guthrie, Jude Law, Johnny Depp","Adventure, Family, Fantasy"
widows,"Steve McQueen (director/screenplay); Gillian Flynn (screenplay); Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Carrie Coon, Jacki Weaver, Robert Duvall, Liam Neeson","Crime, Drama, Thriller"
instant family,"Sean Anders (director/screenplay); John Morris (screenplay); Mark Wahlberg, Rose Byrne, Isabela Moner, Tig Notaro, Margo Martindale, Julie Hagerty, Octavia Spencer","Comedy, Drama"
ralph breaks the internet,"Rich Moore, Phil Johnston (directors); Phil Johnston, Pamela Ribon (screenplay); John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Jack McBrayer, Jane Lynch, Bill Hader, Alfred Molina, Alan Tudyk, Ed O'Neill","Animation, Adventure, Comedy"
creed ii,"Steven Caple Jr. (director); Sylvester Stallone, Juel Taylor (screenplay); Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Dolph Lundgren, Florian Munteanu, Wood Harris, Phylicia Rashad","Drama, Sport"
green book,"Peter Farrelly (director/screenplay); Brian Hayes Currie, Nick Vallelonga (screenplay); Viggo Mortensen, Mahershala Ali, Linda Cardellini","Biography, Comedy, Drama"
robin hood,"Otto Bathurst (director); Ben Chandler, David James Kelly (screenplay); Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Tim Minchin, Jamie Dornan","Action, Adventure, Drama"
roma,"Alfonso Cuarón (director/screenplay); Yalitza Aparicio, Marina de Tavira, Fernando Grediaga, Jorge Antonio Guerrero",Drama
the favourite,"Yorgos Lanthimos (director); Deborah Davis, Tony McNamara (screenplay); Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Joe Alwyn","Biography, Comedy, Drama"
the possession of hannah grace,"Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell, Grey Damon, Kirby Johnson, Stana Katic","Horror, Mystery, Thriller"
mary queen of scots,"Josie Rourke (director); Beau Willimon (screenplay); Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant, Guy Pearce","Biography, Drama, History"
ben is back,"Peter Hedges (director/screenplay); Lucas Hedges, Julia Roberts, Kathryn Newton, Courtney B. Vance",Drama
spider-man: into the spider-verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Luna Lauren Velez, Lily Tomlin, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine","Animation, Action, Adventure"
mortal engines,"Christian Rivers (director); Peter Jackson, Fran Walsh, Philippa Boyens (screenplay); Hugo Weaving, Hera Hilmar, Robert Sheehan, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang","Action, Adventure, Fantasy"
the mule,"Clint Eastwood (director); Nick Schenk (screenplay); Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Andy Garcia","Crime, Drama, Thriller"
if beale street could talk,"Barry Jenkins (director/screenplay); Kiki Layne, Stephan James, Teyonah Parris, Regina King, Dave Franco, Ed Skrein, Diego Luna, Emily Rios","Drama, Romance"
mary poppins returns,"Rob Marshall (director); David Magee (screenplay); Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Colin Firth, Meryl Streep, Dick Van Dyke, Angela Lansbury","Adventure, Comedy, Family"
aquaman,"James Wan (director); David Leslie Johnson-McGoldrick, Will Beall (screenplay); Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Ludi Lin, Temuera Morrison, Nicole Kidman","Action, Adventure, Fantasy"
bumblebee,"Travis Knight (director); Christina Hodson (screenplay); Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Drucker, Pamela Adlon, Dylan O'Brien, Angela Bassett, Justin Theroux, Peter Cullen, Andrew Morgado","Action, Adventure, Sci-Fi"
welcome to marwen,"Robert Zemeckis (director/screenplay); Caroline Thompson (screenplay); Steve Carell, Leslie Mann, Diane Kruger, Falk Hentschel, Janelle Monáe, Eiza González, Gwendoline Christie","Biography, Comedy, Drama"
second act,"Peter Segal (director); Elaine Goldsmith-Thomas, Justin Zackham (screenplay); Jennifer Lopez, Leah Remini, Vanessa Hudgens, Treat Williams, Milo Ventimiglia","Comedy, Drama, Romance"
holmes & watson,"Etan Cohen (director/screenplay); Will Ferrell, John C. Reilly, Rebecca Hall, Ralph Fiennes, Rob Brydon, Kelly Macdonald, Steve Coogan, Lauren Lapkus, Pam Ferris, Hugh Laurie","Comedy, Crime, Mystery"
vice,"Adam McKay (director/screenplay); Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Tyler Perry, Alison Pill, Lily Rabe, Jesse Plemons","Biography, Comedy, Drama"
on the basis of sex,"Mimi Leder (director); Daniel Stiepleman (screenplay); Felicity Jones, Armie Hammer, Justin Theroux, Jack Reynor, Cailee Spaeny, Sam Waterston, Kathy Bates","Biography, Drama"
destroyer,"Karyn Kusama (director); Phil Hay, Matt Manfredi (screenplay); Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy","Action, Crime, Drama"
black mirror: bandersnatch,"David Slade (director); Charlie Brooker (screenplay); Fionn Whitehead, Will Poulter, Asim Chaudhry, Craig Parkinson, Alice Lowe, Tallulah Haddon, Catriona Knox, Jonathan Aris","Drama, Fantasy, Mystery"
Escape Room,"Adam Robitel (director); Bragi F. Schut, Maria Melnik (screenplay); Taylor Russell, Logan Miller, Deborah Ann Woll, Tyler Labine, Jay Ellis, Nik Dodani, Yorick van Wageningen","Action, Adventure, Horror"
American Hangman,"Wilson Coneybeare (director/screenplay); Donald Sutherland, Vincent Kartheiser, Oliver Dennis, Paul Braunstein",Thriller
A Dog's Way Home,"Charles Martin Smith (director); W. Bruce Cameron (screenplay); Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp, Ashley Judd, Jonah Haur-King, Wes Studi","Adventure, Drama, Family"
Glass,"M. Night Shyamalan (director/screenplay); James McAvoy, Bruce Willis, Samuel L. Jackson, Sarah Paulson, Anya Taylor-Joy, Spencer Treat Clark, Charlayne Woodard","Drama, Sci-Fi, Thriller"
Close,"Vicky Jewson (director); Vicky Jewson, Rupert Whitaker (screenplay); Noomi Rapace, Sophie Nélisse, Indira Varma, Eoin Macken","Action, Drama, Thriller"
The Kid Who Would Be King,"Joe Cornish (director/screenplay); Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor, Rhianna Doris, Angus Imrie, Rebecca Ferguson, Patrick Stewart","Action, Adventure, Family"
Serenity,"Steven Knight (director/screenplay); Matthew McConaughey, Anne Hathaway, Jason Clarke, Diane Lane, Djimon Hounsou","Drama, Mystery, Thriller"
I Am Mother,"Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary Swank","Drama, Mystery, Sci-Fi"
The Vast of Night,"Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake Horowitz","Drama, Mystery, Sci-Fi"
Miss Bala,"Catherine Hardwicke (director); Gareth Dunnet-Alcocer (screenplay); Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie","Action, Crime, Drama"
Velvet Buzzsaw,"Dan Gilroy (director/screenplay); Jake Gyllenhaal, Rene Russo, Toni Collette, Zawe Ashton, Tom Sturridge, Natalia Dyer, Daveed Diggs, Billy Magnussen, John Malkovich","Horror, Mystery, Thriller"
The Lego Movie 2: The Second Part,"Mike Mitchell (director); Phil Lord, Christopher Miller (screenplay); Chris Pratt, Elizabeth Banks, Tiffany Haddish, Will Arnett, Stephanie Beatriz, Charlie Day, Alison Brie, Nick Offerman, Maya Rudolph","Animation, Adventure, Comedy"
What Men Want,"Adam Shankman (director); Tina Gordon Chism (screenplay); Taraji P. Henson, Tracy Morgan, Max Greenfield, Aldis Hodge, Wendi McLendon-Covey","Comedy, Fantasy, Romance"
Cold Pursuit,"Hans Petter Moland (director); Frank Baldwin (screenplay); Liam Neeson, Tom Bateman, Tom Jackson, Emmy Rossum, Domenick Lombardozzi, Julia Jones, John Doman, Laura Dern","Action, Comedy, Crime"
High Flying Bird,"Steven Soderbergh (director); Tarell Alvin McCraney (screenplay); André Holland, Zazie Beetz, Melvin Gregg, Sonja Sohn, Zachary Quinto, Kyle MacLachlan, Bill Duke","Drama, Sport"
The Prodigy,"Nicholas McCarthy (director); Jeff Buhler (screenplay); Taylor Schilling, Peter Mooney, Colm Feore","Fantasy, Horror, Mystery"
Isn't It Romantic,"Todd Strauss-Schulson (director); Erin Cardillo, Dana Fox, Katie Silberman (screenplay); Rebel Wilson, Liam Hemsworth, Adam DeVine, Priyanka Chopra, Betty Gilpin, Brandon Scott Jones","Comedy, Fantasy, Musical"
Happy Death Day 2U,"Christopher Landon (director/screenplay); Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin, Ruby Modine, Rachel Matthews, Charles Aitken, Steve Zissis","Comedy, Horror, Mystery"
Alita: Battle Angel,"Robert Rodriguez (director); James Cameron, Laeta Kalogridis (screenplay); Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Leonard Wu","Action, Adventure, Sci-Fi"
How to Train Your Dragon: The Hidden World,"Dean DeBlois (director/screenplay); Jay Baruchel, America Ferrera, Cate Blanchett, Craig Ferguson, F. Murray Abraham","Animation, Action, Adventure"
Fighting with My Family,"Stephen Merchant (director/screenplay); Florence Pugh, Lena Headey, Nick Frost, Jack Lowden, Vince Vaughn, Dwayne Johnson","Biography, Comedy, Drama"
Greta,"Neil Jordan (director/screenplay); Ray Wright (screenplay); Isabelle Huppert, Chloë Grace Moretz, Maika Monroe, Colm Feore, Stephen Rea",Drama
Triple Frontier,"J. C. Chandor (director/screenplay); Mark Boal (screenplay); Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund, Pedro Pascal","Action, Adventure, Crime"
Captain Marvel,"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law","Action, Adventure, Sci-Fi"
The Kid,"Vincent D'Onofrio (director); Andrew Lanham (screenplay); Ethan Hawke, Dane DeHaan, Jake Schur, Leila George, Adam Baldwin, Chris Pratt","Biography, Drama, Western"
Wonder Park,"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver","Animation, Adventure, Comedy"
Captive State,"Rupert Wyatt (director/screenplay); Erica Beeney (screenplay); John Goodman, Ashton Sanders, Jonathan Majors, Machine Gun Kelly, Vera Farmiga","Action, Horror, Sci-Fi"
Nancy Drew and the Hidden Staircase,"Katt Shea (director); Nina Fiore, John Herrera (screenplay); Sophia Lillis, Zoe Renee, Mackenzie Graham, Laura Slade Wiggins, Sam Trammell, Linda Lavin","Comedy, Crime, Drama"
The Aftermath,"James Kent (director); Joe Shrapnel, Anna Waterhouse (screenplay); Alexander Skarsgård, Keira Knightley, Jason Clarke","Drama, Romance, War"
Five Feet Apart,"Justin Baldoni (director); Mikki Daughtry, Tobias Iaconis (screenplay); Cole Sprouse, Haley Lu Richardson","Drama, Romance"
The Highwaymen,"John Lee Hancock (director); John Fusco (screenplay); Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Kim Dickens, Thomas Mann, William Sadler","Biography, Crime, Drama"
Red 11,"Robert Rodriguez (director/screenplay); Racer Rodriguez (screenplay); Roby Attal, Lauren Hatfield, Alejandro Rose Garcia, Brently Heilbron, Katherine Willis, Carlos Gallardo","Horror, Sci-Fi, Thriller"
Never Grow Old,"Ivan Kavanagh (director/screenplay); Emile Hirsch, Tim Ahern, Déborah François, John Cusack, Danny Webb, Sam Louwyck","Drama, Western"
Triple Threat,"Jesse V. Johnson (director); Dwayne Smith (screenplay); Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Yanin Vismitananda, Celina Jade, Michael Bisping, Michael Jai White","Action, Thriller"
Us,"Jordan Peele (director/screenplay); Lupita Nyong'o, Winston Duke, Shahadi Wright Joseph, Evan Alex, Elisabeth Moss, Tim Heidecker","Horror, Mystery, Thriller"
The Dirt,"Jeff Tremaine (director): Tom Kapinos, Amanda Adelson, Rich Wilkes (screenplay); Douglas Booth, Iwan Rheon, Machine Gun Kelly, Daniel Webber","Biography, Comedy, Drama"
Dumbo,"Tim Burton (director); Ehren Kruger (screenplay); Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Nico Parker, Finley Hobbins, Alan Arkin, Roshan Seth, Lars Eidinger, DeObia Oparei","Adventure, Family, Fantasy"
The Beach Bum,"Harmony Korine (director/screenplay); Matthew McConaughey, Zac Efron, Jonah Hill, Isla Fisher, Jimmy Buffett, Snoop Dogg, Martin Lawrence",Comedy
Unplanned,"Chuck Konzelman, Cary Soloman (director/screenplay); Ashley Bratcher, Brooks Ryan, Robia Scott","Biography, Drama"
Shazam!,"David F. Sandberg (director); Henry Gayden (screenplay); Zachary Levi, Asher Angel, Mark Strong, Jack Dylan Grazer, Djimon Hounsou","Action, Adventure, Comedy"
Pet Sematary,"Kevin Kolsch, Dennis Widmyer (directors); Jeff Buhler (screenplay); Jason Clarke, Amy Seimetz, John Lithgow","Horror, Mystery, Thriller"
The Best of Enemies,"Robin Bissell (director/screenplay); Taraji P. Henson, Sam Rockwell","Biography, Drama, History"
The Haunting of Sharon Tate,"Daniel Farrands (director/screenplay); Hilary Duff, Jonathan Bennett, Lydia Hearst, Pawel Szajda","Drama, Horror, Thriller"
The Silence,"John R. Leonetti (director); Carey Van Dyke, Shane Van Dyke (screenplay); Kiernan Shipka, Stanley Tucci, Miranda Otto, John Corbett","Drama, Horror, Sci-Fi"
Hellboy,"Neil Marshall (director); Andrew Cosby (screenplay); David Harbour, Milla Jovovich, Ian McShane, Sasha Lane, Daniel Dae Kim, Sophie Okonedo, Penelope Mitchell, Thomas Haden Church","Action, Adventure, Fantasy"
Little,"Tina Gordon (director); Camilla Blackett (screenplay); Issa Rae, Regina Hall, Marsai Martin","Comedy, Fantasy, Romance"
Missing Link,"Chris Butler (director/screenplay); Hugh Jackman, Zach Galifianakis, Zoe Saldana, Emma Thompson, Stephen Fry, David Walliams, Timothy Olyphant, Matt Lucas, Amrita Acharia","Animation, Adventure, Comedy"
After,"Jenny Gage (director/screenplay); Susan McMartin, Tamara Chestna (screenplay); Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher","Drama, Romance"
Breakthrough,"Roxann Dawson (director); Grant Nieporte (screenplay); Chrissy Metz, Josh Lucas, Topher Grace, Mike Colter, Marcel Ruiz, Sam Trammell, Dennis Haysbert","Biography, Drama"
The Curse of La Llorona,"Michael Chaves (director); Mikki Daughtry, Tobias Iaconis (screenplay); Linda Cardellini, Raymond Cruz, Patricia Velasquez","Horror, Mystery, Thriller"
Someone Great,"Jennifer Kaytin Robinson (director/screenplay); Gina Rodriguez, Brittany Snow, DeWanda Wise","Comedy, Romance"
I Spit on Your Grave: Deja Vu,"Meir Zarchi (director/screenplay); Camille Keaton, Maria Olsen, Meir Zarchi","Horror, Thriller"
Avengers: Endgame,"Anthony and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, Josh Brolin","Action, Adventure, Drama"
I Trapped the Devil,"Josh Lobo (director/screenplay); A. J. Bowen, Scott Poythress, Susan Burke, Jocelin Donahue, Chris Sullivan","Drama, Horror, Mystery"
Body at Brighton Rock,"Roxanne Benjamin (director/screenplay); Karina Fontes, Casey Adams, Emily Althaus, Martin Spanjers, Susan Burke, John Getz","Comedy, Drama, Fantasy"
Buffaloed,"Tanya Wexler (director); Brian Sacca (screenplay); Zoey Deutch, Jermaine Fowler, Judy Greer, Jai Courtney","Comedy, Drama"
Long Shot,"Jonathan Levine (director); Dan Sterling (screenplay); Seth Rogen, Charlize Theron, O'Shea Jackson Jr., Andy Serkis, June Diane Raphael, Bob Odenkirk, Alexander Skarsgård","Comedy, Romance"
The Intruder,"Deon Taylor (director); David Loughery (screenplay); Dennis Quaid, Michael Ealy, Meagan Good, Joseph Sikora",Thriller
UglyDolls,"Kelly Asbury (director); Alison Peck (screenplay); Kelly Clarkson, Pitbull, Nick Jonas, Wanda Sykes, Gabriel Iglesias, Blake Shelton, Janelle Monáe, Emma Roberts, Wang Leehom, Bebe Rexha, Charli XCX, Lizzo","Animation, Adventure, Comedy"
"Extremely Wicked, Shockingly Evil and Vile","Joe Berlinger (director); Michael Werwie (screenplay); Zac Efron, Lily Collins, Kaya Scodelario, John Malkovich, Jeffrey Donovan, Angela Sarafyan, Dylan Baker, Brian Geraghty, Jim Parsons, Haley Joel Osment","Biography, Crime, Drama"
The Last Summer,"William Bindley (director); Scott Bindley; William Bindley (screenplay); KJ Apa, Maia Mitchell, Jacob Latimore, Halston Sage and Tyler Posey","Comedy, Romance"
The Hustle,"Chris Addison (director); Jac Schaeffer (screenplay); Anne Hathaway, Rebel Wilson, Alex Sharp, Dean Norris","Comedy, Crime"
Tolkien,"Dome Karukoski (director); David Gleeson, Stephen Beresford (screenplay); Nicholas Hoult, Lily Collins, Colm Meaney, Derek Jacobi","Biography, Drama, Romance"
Poms,"Zara Hayes (director/screenplay); Shane Atkinson (screenplay); Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Phyllis Somerville","Comedy, Drama, Sport"
The Professor and the Madman,"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan","Biography, Drama, History"
